Protein.Group,Protein.Names,Genes,First.Protein.Description,N.Sequences,N.Proteotypic.Sequences,HYEA_rep111,HYEA_rep112,HYEA_rep113,HYEA_rep114,HYEB_rep111,HYEB_rep112,HYEB_rep113,HYEB_rep114
P25705,ATPA_HUMAN,ATP5F1A,"ATP synthase subunit alpha, mitochondrial",12,11,6.22E+06,7.17E+06,6.41E+06,7.09E+06,6.39E+06,7.47E+06,6.67E+06,7.34E+06
P25714,YIDC_ECOLI,yidC,Membrane protein insertase YidC,1,1,6180.65,11742.9,,7397,27774.2,24103.2,15313.6,16498.6
P25719,CYPC_YEAST,CPR3,"Peptidyl-prolyl cis-trans isomerase C, mitochondrial",4,4,274554,334452,324145,280498,155830,140603,120769,168322
P25738,MSYB_ECOLI,msyB,Acidic protein MsyB,1,1,121758,149672,128027,155699,612470,728187,674072,772952
P25745,MNMA_ECOLI,mnmA,tRNA-specific 2-thiouridylase MnmA,2,2,,30112.9,24724.3,38242.8,112183,111546,114850,119518
P25748,GALS_ECOLI,galS,HTH-type transcriptional regulator GalS,1,1,,,,,,,,6320.06
P25786,PSA1_HUMAN,PSMA1,Proteasome subunit alpha type-1,4,4,5.12E+06,5.49E+06,5.62E+06,4.88E+06,5.16E+06,5.98E+06,5.50E+06,5.53E+06
P25787,PSA2_HUMAN,PSMA2,Proteasome subunit alpha type-2,3,3,606895,573943,557150,584181,557128,686675,474066,585214
P25788,PSA3_HUMAN,PSMA3,Proteasome subunit alpha type-3,4,4,1.04E+06,1.16E+06,1.02E+06,1.23E+06,1.07E+06,1.17E+06,1.04E+06,1.13E+06
P25789,PSA4_HUMAN,PSMA4,Proteasome subunit alpha type-4,2,2,,1.02E+06,763236,,,,,1.12E+06
P25815,S100P_HUMAN,S100P,Protein S100-P,2,2,1.38E+06,1.73E+06,1.58E+06,1.72E+06,1.58E+06,1.80E+06,1.44E+06,1.46E+06
P25847,MSH2_YEAST,MSH2,DNA mismatch repair protein MSH2,1,1,14343.4,,,,,,16023,
P25888,RHLE_ECOLI,rhlE,ATP-dependent RNA helicase RhlE,1,1,,,,,,,1932.27,2920.8
P25894,LOIP_ECOLI,loiP,Metalloprotease LoiP,7,7,27527.6,,,,90272.1,98002.9,85836.8,88679.4
P25906,PDXI_ECOLI,pdxI,Pyridoxine 4-dehydrogenase,2,2,,,30071.1,,104724,95802,105484,124759
P26006,ITA3_HUMAN,ITGA3,Integrin alpha-3,6,6,145161,159493,143697,162408,145142,156678,144629,177569
P26038,MOES_HUMAN,MSN,Moesin,18,13,3.19E+06,3.72E+06,3.33E+06,3.66E+06,3.39E+06,3.70E+06,3.62E+06,3.87E+06
P26196,DDX6_HUMAN,DDX6,Probable ATP-dependent RNA helicase DDX6,8,8,123024,155167,128519,147684,135618,141778,131544,150120
P26321,RL5_YEAST,RPL5,Large ribosomal subunit protein uL18,3,3,687412,829139,762824,603944,341724,423951,285210,400938
P26358,DNMT1_HUMAN,DNMT1,DNA (cytosine-5)-methyltransferase 1,15,15,86650,101113,96305.9,95805.6,86563,98051,92043.5,102359
P26368,U2AF2_HUMAN,U2AF2,Splicing factor U2AF 65 kDa subunit,3,3,728730,984691,712724,444728,785181,1.00E+06,757552,918941
P26373,RL13_HUMAN,RPL13,Large ribosomal subunit protein eL13,5,5,3.18E+06,3.75E+06,3.45E+06,3.54E+06,3.50E+06,3.91E+06,3.45E+06,4.03E+06
P26374,RAE2_HUMAN,CHML,Rab proteins geranylgeranyltransferase component A 2,2,2,,,,,13786.8,,13589.9,
P26440,IVD_HUMAN,IVD,"Isovaleryl-CoA dehydrogenase, mitochondrial",2,2,47193.5,35663.9,43698.3,44827.5,29005.9,42419.7,47175.8,49125.9
P26447,S10A4_HUMAN,S100A4,Protein S100-A4,2,2,1.37E+07,1.63E+07,1.32E+07,1.61E+07,1.52E+07,1.61E+07,1.49E+07,1.71E+07
P26572,MGAT1_HUMAN,MGAT1,"Alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase",3,3,,14045,7584.73,10643.7,10587.2,11903.9,,7182.31
P26583,HMGB2_HUMAN,HMGB2,High mobility group protein B2,3,3,390610,370528,415642,413684,363286,447815,375071,435018
P26599,PTBP1_HUMAN,PTBP1,Polypyrimidine tract-binding protein 1,3,2,328682,431912,327485,417337,317584,437751,253820,456903
P26612,AMY2_ECOLI,amyA,Cytoplasmic alpha-amylase,4,4,,,,358113,825169,853157,659692,848863
P26616,MAO1_ECOLI,maeA,NAD-dependent malic enzyme,5,5,20245.7,24121.3,23351.4,23698.8,150402,175103,160984,133798
P26637,SYLC_YEAST,CDC60,"Leucine--tRNA ligase, cytoplasmic",16,16,344160,403081,381216,425967,157436,169681,161415,182461
P26639,SYTC_HUMAN,TARS1,"Threonine--tRNA ligase 1, cytoplasmic",11,11,1.11E+06,1.27E+06,1.10E+06,1.24E+06,1.26E+06,1.39E+06,1.23E+06,1.31E+06
P26640,SYVC_HUMAN,VARS1,Valine--tRNA ligase,17,17,482052,607141,509051,593470,566153,551896,543785,634410
P26641,EF1G_HUMAN,EEF1G,Elongation factor 1-gamma,8,8,5.27E+06,6.40E+06,5.68E+06,6.27E+06,5.80E+06,6.35E+06,5.84E+06,6.58E+06
P26646,ACUI_ECOLI,acuI,Probable acrylyl-CoA reductase AcuI,5,5,35688,52076.9,28562.3,37958,153535,165222,156588,169871
P26754,RFA2_YEAST,RFA2,Replication factor A protein 2,1,1,15110.9,,16940.6,19134.4,7431.8,,4777.52,
P26783,RS5_YEAST,RPS5,Small ribosomal subunit protein uS7,5,5,997269,1.25E+06,1.05E+06,1.24E+06,570178,642850,521931,636848
P26784,RL16A_YEAST,RPL16A,Large ribosomal subunit protein uL13A,6,5,542261,763681,586434,721484,273677,318369,263080,319965
P26785,RL16B_YEAST,RPL16B,Large ribosomal subunit protein uL13B,3,3,865514,983252,934909,862709,337810,432496,369393,501829
P26786,RS7A_YEAST,RPS7A,Small ribosomal subunit protein eS7A,1,1,324809,425764,373137,438423,185745,186103,154330,215082
P26793,FEN1_YEAST,RAD27,Flap endonuclease 1,2,2,1917.27,5151.67,,4693.21,2923.18,2240.16,1773.17,4560.03
P26885,FKBP2_HUMAN,FKBP2,Peptidyl-prolyl cis-trans isomerase FKBP2,2,2,466785,477008,480055,510107,500862,617427,519628,491939
P27105,STOM_HUMAN,STOM,Stomatin,3,3,282870,346867,334989,319998,302904,361844,313834,357049
P27247,PLSX_ECOLI,plsX,Phosphate acyltransferase,1,1,,,,,36980.3,,,
P27248,GCST_ECOLI,gcvT,Aminomethyltransferase,6,6,271248,355785,299821,387815,1.16E+06,1.24E+06,1.11E+06,1.43E+06
P27250,AHR_ECOLI,ahr,Aldehyde reductase Ahr,5,5,108246,137431,131984,115270,583270,603720,540927,613265
P27278,NADR_ECOLI,nadR,Trifunctional NAD biosynthesis/regulator protein NadR,2,2,,,,,126280,179669,73481.1,118292
P27298,OPDA_ECOLI,prlC,Oligopeptidase A,10,10,83183.1,93493.5,101422,80263.6,274563,368509,279437,424284
P27302,TKT1_ECOLI,tktA,Transketolase 1,11,11,225192,237456,256243,243187,933116,1.09E+06,875304,1.04E+06
P27306,STHA_ECOLI,sthA,Soluble pyridine nucleotide transhydrogenase,6,6,53814.2,77479.4,69285.9,65389.3,265569,316181,274784,266940
P27338,AOFB_HUMAN,MAOB,Amine oxidase [flavin-containing] B,4,3,37828.8,56686.1,41312.4,51669.2,53279.4,55129.1,38318.2,47285.5
P27348,1433T_HUMAN,YWHAQ,14-3-3 protein theta,9,7,2.34E+06,2.66E+06,2.36E+06,2.75E+06,2.27E+06,2.74E+06,2.40E+06,2.70E+06
P27361,MK03_HUMAN,MAPK3,Mitogen-activated protein kinase 3,5,4,34382,49159.9,45128.9,37705.3,49107.5,41917,46654.6,42317.6
P27431,ROXA_ECOLI,roxA,Ribosomal protein uL16 3-hydroxylase,2,2,,,,8365.55,66474.4,81393.4,68292.7,83169.4
P27434,RODZ_ECOLI,rodZ,Cytoskeleton protein RodZ,3,3,16644.3,,13346.3,17242.7,47039.1,83355.8,44141.7,44037.8
P27448,MARK3_HUMAN,MARK3,MAP/microtubule affinity-regulating kinase 3,3,2,157552,,169507,154653,122008,,,
P27466,KCC1_YEAST,CMK1,Calcium/calmodulin-dependent protein kinase I,2,2,16924.9,13468.4,14153.2,,,,,
P27472,GYS2_YEAST,GSY2,Glycogen [starch] synthase isoform 2,5,4,32979,37300.5,34220,35147,11288,14395.2,26361.4,17922.9
P27476,NSR1_YEAST,NSR1,Nuclear localization sequence-binding protein,2,2,57289,74758.2,77700.4,77686.9,34428.7,24517.1,34470.1,35740.7
P27514,PHO91_YEAST,PHO91,Low-affinity phosphate transporter PHO91,1,1,6909.08,3387.94,5128.14,,,,,
P27540,ARNT_HUMAN,ARNT,Aryl hydrocarbon receptor nuclear translocator,2,2,,335.403,425.384,,,,482.518,
P27550,ACSA_ECOLI,acs,Acetyl-coenzyme A synthetase,14,14,1.66E+06,1.94E+06,1.72E+06,1.83E+06,6.16E+06,7.35E+06,6.40E+06,7.30E+06
P27614,CBPS_YEAST,CPS1,Carboxypeptidase S,4,4,217980,263280,207937,221009,102417,119163,115543,104641
