Protein.Group,Protein.Names,Genes,First.Protein.Description,N.Sequences,N.Proteotypic.Sequences,HYEA_1,HYEA_2,HYEA_3
Q9NUJ1,ABHDA_HUMAN,ABHD10,"Palmitoyl-protein thioesterase ABHD10, mitochondrial",2,2,99019.5,82184.2,82522.4
Q9NUJ3,T11L1_HUMAN,TCP11L1,T-complex protein 11-like protein 1,5,5,8679.38,11448.6,3903.84
Q9NUK0,MBNL3_HUMAN,MBNL3,Muscleblind-like protein 3,3,2,154641,209839,214855
Q9NUL3,STAU2_HUMAN,STAU2,Double-stranded RNA-binding protein Staufen homolog 2,10,10,39495.8,41265.9,45785.1
Q9NUL5,SHFL_HUMAN,SHFL,Shiftless antiviral inhibitor of ribosomal frameshifting protein,2,2,,,4529.49
Q9NUL7,DDX28_HUMAN,DDX28,Probable ATP-dependent RNA helicase DDX28,4,4,33268.1,29877.6,29144.3
Q9NUM4,T106B_HUMAN,TMEM106B,Transmembrane protein 106B,3,3,51765.4,61725.1,56298.9
Q9NUP7,TRM13_HUMAN,TRMT13,tRNA:m(4)X modification enzyme TRM13 homolog,3,3,2471.18,3820.49,3626.63
Q9NUP9,LIN7C_HUMAN,LIN7C,Protein lin-7 homolog C,5,3,62994.6,51035.9,58210.1
Q9NUQ2,PLCE_HUMAN,AGPAT5,1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon,3,3,36143.3,31167.4,24187.1
Q9NUQ3,TXLNG_HUMAN,TXLNG,Gamma-taxilin,7,7,97830.9,106435,95686.3
Q9NUQ6,SPS2L_HUMAN,SPATS2L,SPATS2-like protein,4,4,30873.7,34038.1,36239.3
Q9NUQ7,UFSP2_HUMAN,UFSP2,Ufm1-specific protease 2,6,6,46900,35470,46458.3
Q9NUQ8,ABCF3_HUMAN,ABCF3,ATP-binding cassette sub-family F member 3,7,7,70437.4,57575.8,64302.9
Q9NUQ9,CYRIB_HUMAN,CYRIB,CYFIP-related Rac1 interactor B,8,6,573352,580513,520866
Q9NUS5,AP5S1_HUMAN,AP5S1,AP-5 complex subunit sigma-1,2,2,7468.86,4081.41,4137.7
Q9NUU7,DD19A_HUMAN,DDX19A,ATP-dependent RNA helicase DDX19A,9,1,289808,289166,291558
Q9NUW8,TYDP1_HUMAN,TDP1,Tyrosyl-DNA phosphodiesterase 1,8,8,28707.5,30662.8,41629.1
Q9NUX5,POTE1_HUMAN,POT1,Protection of telomeres protein 1,2,2,614.881,,6514.2
Q9NUY8,TBC23_HUMAN,TBC1D23,TBC1 domain family member 23,6,6,25578.2,28436.7,26131.8
Q9NV06,DCA13_HUMAN,DCAF13,DDB1- and CUL4-associated factor 13,5,5,91090,97743.2,99980.5
Q9NV31,IMP3_HUMAN,IMP3,U3 small nucleolar ribonucleoprotein protein IMP3,5,5,92696.5,60425,58479.8
Q9NV35,NUD15_HUMAN,NUDT15,Nucleotide triphosphate diphosphatase NUDT15,5,5,15821.1,12196.4,15324.9
Q9NV56,MRGBP_HUMAN,MRGBP,MRG/MORF4L-binding protein,3,3,9305.88,13278.2,16456.3
Q9NV66,TYW1_HUMAN,TYW1,S-adenosyl-L-methionine-dependent tRNA 4-demethylwyosine synthase TYW1,3,1,1637.26,4102.56,3498.56
Q9NV70,EXOC1_HUMAN,EXOC1,Exocyst complex component 1,9,9,39956.9,33226.9,38010.4
Q9NV88,INT9_HUMAN,INTS9,Integrator complex subunit 9,4,4,12398.1,17132,13390.3
Q9NV96,CC50A_HUMAN,TMEM30A,Cell cycle control protein 50A,2,2,8549.28,13796.5,17237.7
Q9NVA1,UQCC1_HUMAN,UQCC1,Ubiquinol-cytochrome c reductase complex assembly factor 1,4,4,70959.3,71866.8,70641.9
Q9NVA2,SEP11_HUMAN,SEPTIN11,Septin-11,2,2,8276.43,5367.79,12674.5
Q9NVA4,T184C_HUMAN,TMEM184C,Transmembrane protein 184C,1,1,8859.66,8791.64,
Q9NVC3,S38A7_HUMAN,SLC38A7,Sodium-coupled neutral amino acid transporter 7,2,2,3337.09,4574.8,8712.68
Q9NVC6,MED17_HUMAN,MED17,Mediator of RNA polymerase II transcription subunit 17,7,7,35707,28933.3,31934.5
Q9NVD7,PARVA_HUMAN,PARVA,Alpha-parvin,4,3,47409.8,44042.5,41771.2
Q9NVE7,PANK4_HUMAN,PANK4,4'-phosphopantetheine phosphatase,8,8,24594.6,21225.4,20168.2
Q9NVG8,TBC13_HUMAN,TBC1D13,TBC1 domain family member 13,6,6,69208.5,64721.3,62765.1
Q9NVH0,EXD2_HUMAN,EXD2,Exonuclease 3'-5' domain-containing protein 2,5,5,21985.4,19033.4,21046.2
Q9NVH1,DJC11_HUMAN,DNAJC11,DnaJ homolog subfamily C member 11,7,7,59335.2,60851.5,46332.4
Q9NVH2,INT7_HUMAN,INTS7,Integrator complex subunit 7,7,7,39114.1,42680,34212.4
Q9NVI1,FANCI_HUMAN,FANCI,Fanconi anemia group I protein,17,17,181863,154222,147925
Q9NVI7,ATD3A_HUMAN,ATAD3A,ATPase family AAA domain-containing protein 3A,14,5,400864,395871,355126
Q9NVJ2,ARL8B_HUMAN,ARL8B,ADP-ribosylation factor-like protein 8B,1,1,64926.9,77447.9,83179.2
Q9NVK5,FGOP2_HUMAN,FGFR1OP2,FGFR1 oncogene partner 2,2,2,4226.77,2341.58,2483.52
Q9NVM6,DJC17_HUMAN,DNAJC17,DnaJ homolog subfamily C member 17,6,6,54172.1,47383.6,51141.6
Q9NVM9,INT13_HUMAN,INTS13,Integrator complex subunit 13,14,14,38312.3,34374.5,33748.1
Q9NVN3,RIC8B_HUMAN,RIC8B,Chaperone Ric-8B,2,2,8784.49,8385.35,10921.9
Q9NVN8,GNL3L_HUMAN,GNL3L,Guanine nucleotide-binding protein-like 3-like protein,11,11,33162.2,29305.8,36324.8
Q9NVP1,DDX18_HUMAN,DDX18,ATP-dependent RNA helicase DDX18,12,12,329494,283690,298645
Q9NVQ4,FAIM1_HUMAN,FAIM,Fas apoptotic inhibitory molecule 1,1,1,32916.8,50545.9,45552.3
Q9NVR0,KLH11_HUMAN,KLHL11,Kelch-like protein 11,3,3,42156.3,42786.7,44369.6
Q9NVR2,INT10_HUMAN,INTS10,Integrator complex subunit 10,7,7,24049.5,27080.6,20906
Q9NVR5,KTU_HUMAN,DNAAF2,Protein kintoun,3,3,6718.7,8394.21,8514.82
Q9NVS9,PNPO_HUMAN,PNPO,Pyridoxine-5'-phosphate oxidase,4,4,117453,124965,112321
Q9NVT9,ARMC1_HUMAN,ARMC1,Armadillo repeat-containing protein 1,4,4,63810.2,46777.1,54806.6
Q9NVU0,RPC5_HUMAN,POLR3E,DNA-directed RNA polymerase III subunit RPC5,4,4,25625.8,30268.5,36772.1
Q9NVU7,SDA1_HUMAN,SDAD1,Protein SDA1 homolog,11,11,69042.1,64916.9,59071.8
Q9NVV0,TM38B_HUMAN,TMEM38B,Trimeric intracellular cation channel type B,1,1,10289.1,13511.9,10742
Q9NVV4,PAPD1_HUMAN,MTPAP,"Poly(A) RNA polymerase, mitochondrial",5,5,24864.6,25639.7,24820.1
Q9NVX0,HAUS2_HUMAN,HAUS2,HAUS augmin-like complex subunit 2,3,3,26905.1,48478.4,35714.4
Q9NVX2,NLE1_HUMAN,NLE1,Notchless protein homolog 1,4,4,78065.1,102462,108313
Q9NVX7,KBTB4_HUMAN,KBTBD4,Kelch repeat and BTB domain-containing protein 4,3,3,28787.8,36390.3,36822.4
Q9NVZ3,NECP2_HUMAN,NECAP2,Adaptin ear-binding coat-associated protein 2,3,3,25743.2,25845.3,27282.7
Q9NW08,RPC2_HUMAN,POLR3B,DNA-directed RNA polymerase III subunit RPC2,7,7,21686.3,21762.4,24737.9
Q9NW13,RBM28_HUMAN,RBM28,RNA-binding protein 28,13,13,154309,177610,168731
Q9NW15,ANO10_HUMAN,ANO10,Anoctamin-10,1,1,,7169.62,5351.44
Q9NW38,FANCL_HUMAN,FANCL,E3 ubiquitin-protein ligase FANCL,1,1,,,
Q9NW64,RBM22_HUMAN,RBM22,Pre-mRNA-splicing factor RBM22,7,7,79612.8,79048.7,75967
Q9NW68,BSDC1_HUMAN,BSDC1,BSD domain-containing protein 1,4,4,9940.51,13575.4,14742.8
Q9NW81,DMAC2_HUMAN,DMAC2,Distal membrane-arm assembly complex protein 2,2,2,4519.48,9435.51,11307
Q9NW82,WDR70_HUMAN,WDR70,WD repeat-containing protein 70,10,10,63321.9,70938,60420.2
Q9NW97,TMM51_HUMAN,TMEM51,Transmembrane protein 51,1,1,4248.91,7200.07,4295.94
Q9NWB6,ARGL1_HUMAN,ARGLU1,Arginine and glutamate-rich protein 1,1,1,35489.2,,38090
Q9NWH9,SLTM_HUMAN,SLTM,SAFB-like transcription modulator,19,19,228626,258708,260042
Q9NWR8,MCUB_HUMAN,MCUB,"Calcium uniporter regulatory subunit MCUb, mitochondrial",1,1,11421.7,12927.9,6723.07
Q9NWS0,PIHD1_HUMAN,PIH1D1,PIH1 domain-containing protein 1,5,5,62015.3,46677.6,44007.3
Q9NWS8,RMND1_HUMAN,RMND1,Required for meiotic nuclear division protein 1 homolog,4,4,9567.6,,6195.4
Q9NWT1,PK1IP_HUMAN,PAK1IP1,p21-activated protein kinase-interacting protein 1,9,9,124983,125001,116969
Q9NWT6,HIF1N_HUMAN,HIF1AN,Hypoxia-inducible factor 1-alpha inhibitor,3,3,14584.8,18268.1,13175.4
Q9NWT8,AKIP_HUMAN,AURKAIP1,Small ribosomal subunit protein mS38,1,1,7633.35,8242.57,7147.11
Q9NWU1,OXSM_HUMAN,OXSM,"3-oxoacyl-[acyl-carrier-protein] synthase, mitochondrial",2,2,18521,,11475
Q9NWU2,GID8_HUMAN,GID8,Glucose-induced degradation protein 8 homolog,1,1,10177.5,12953.5,7287.64
Q9NWU5,RM22_HUMAN,MRPL22,Large ribosomal subunit protein uL22m,7,7,124868,147551,155587
Q9NWV4,CZIB_HUMAN,CZIB,CXXC motif containing zinc binding protein,2,2,55299.6,44947.5,45628.2
Q9NWV8,BABA1_HUMAN,BABAM1,BRISC and BRCA1-A complex member 1,2,2,17857.8,15822.8,10958.2
Q9NWW6,NRK1_HUMAN,NMRK1,Nicotinamide riboside kinase 1,3,3,7710,,7957.13
Q9NWX5,ASB6_HUMAN,ASB6,Ankyrin repeat and SOCS box protein 6,1,1,,15031,17821.1
Q9NWX6,THG1_HUMAN,THG1L,Probable tRNA(His) guanylyltransferase,3,3,45826.9,39578.2,41363.4
Q9NWY4,HPF1_HUMAN,HPF1,Histone PARylation factor 1,5,5,43172.4,42088.8,52302.5
Q9NWZ3,IRAK4_HUMAN,IRAK4,Interleukin-1 receptor-associated kinase 4,2,2,7008.96,5364.31,5559.79
Q9NWZ5,UCKL1_HUMAN,UCKL1,Uridine-cytidine kinase-like 1,4,4,4116.63,5298.91,4646.04
Q9NWZ8,GEMI8_HUMAN,GEMIN8,Gem-associated protein 8,2,2,,,11245
Q9NX00,TM160_HUMAN,TMEM160,Transmembrane protein 160,2,2,19940.3,23294.3,26282.1
Q9NX05,F120C_HUMAN,FAM120C,Constitutive coactivator of PPAR-gamma-like protein 2,5,5,15427,11733.2,15167.3
Q9NX07,TSAP1_HUMAN,TRNAU1AP,tRNA selenocysteine 1-associated protein 1,2,2,18670.6,17918,14319.7
Q9NX08,COMD8_HUMAN,COMMD8,COMM domain-containing protein 8,2,2,24662,18693.5,27360.8
Q9NX14,NDUBB_HUMAN,NDUFB11,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 11, mitochondrial",2,2,9726.56,7511.8,
Q9NX20,RM16_HUMAN,MRPL16,Large ribosomal subunit protein uL16m,3,3,13523.7,27356.4,15967.2
Q9NX24,NHP2_HUMAN,NHP2,H/ACA ribonucleoprotein complex subunit 2,2,2,33487.9,,
Q9NX40,OCAD1_HUMAN,OCIAD1,OCIA domain-containing protein 1,4,4,27693.4,49040.3,53452.1
Q9NX46,ADPRS_HUMAN,ADPRS,ADP-ribosylhydrolase ARH3,4,4,51281.3,57238,43255.5
Q9NX47,MARH5_HUMAN,MARCHF5,E3 ubiquitin-protein ligase MARCHF5,2,2,26242,19940.6,31037.4
Q9NX58,LYAR_HUMAN,LYAR,Cell growth-regulating nucleolar protein,5,5,122302,125749,120315
Q9NX62,IMPA3_HUMAN,BPNT2,"Golgi-resident adenosine 3',5'-bisphosphate 3'-phosphatase",5,5,42962.5,47629.1,53336.5
Q9NX63,MIC19_HUMAN,CHCHD3,MICOS complex subunit MIC19,6,6,485284,609768,516375
Q9NX70,MED29_HUMAN,MED29,Mediator of RNA polymerase II transcription subunit 29,1,1,,,
Q9NX74,DUS2_HUMAN,DUS2,tRNA-dihydrouridine(20) synthase [NAD(P)+]-like,5,5,15303.3,12192.3,13918.8
Q9NXA8,SIR5_HUMAN,SIRT5,"NAD-dependent protein deacylase sirtuin-5, mitochondrial",2,2,13644.6,18311.6,15769.8
Q9NXC5,MIOS_HUMAN,MIOS,GATOR2 complex protein MIOS,10,10,10590.6,9071.14,11183.5
Q9NXE4,NSMA3_HUMAN,SMPD4,Sphingomyelin phosphodiesterase 4,10,10,38298.4,40691.8,40116.3
Q9NXE8,CWC25_HUMAN,CWC25,Pre-mRNA-splicing factor CWC25 homolog,3,3,10579.6,6610.69,9518.34
Q9NXF1,TEX10_HUMAN,TEX10,Testis-expressed protein 10,16,16,200178,179322,169659
Q9NXF7,DCA16_HUMAN,DCAF16,DDB1- and CUL4-associated factor 16,2,2,16965.5,15430.4,9653.76
Q9NXG2,THUM1_HUMAN,THUMPD1,THUMP domain-containing protein 1,7,7,146011,129590,139900
Q9NXG6,P4HTM_HUMAN,P4HTM,Transmembrane prolyl 4-hydroxylase,3,3,4797.32,4602.88,4419.37
Q9NXH8,TOR4A_HUMAN,TOR4A,Torsin-4A,5,5,11838.2,12172.8,13354.2
Q9NXH9,TRM1_HUMAN,TRMT1,tRNA (guanine(26)-N(2))-dimethyltransferase,10,10,96834,116307,120987
Q9NXN4,GDAP2_HUMAN,GDAP2,Ganglioside-induced differentiation-associated protein 2,4,4,5998.97,12210.1,8153.68
Q9NXR1,NDE1_HUMAN,NDE1,Nuclear distribution protein nudE homolog 1,4,2,8420.14,8508.86,
Q9NXR7,BABA2_HUMAN,BABAM2,BRISC and BRCA1-A complex member 2,4,4,73185.7,77864.8,96485.6
Q9NXS2,QPCTL_HUMAN,QPCTL,Glutaminyl-peptide cyclotransferase-like protein,1,1,15394.6,20144.1,13111.9
Q9NXV6,CARF_HUMAN,CDKN2AIP,CDKN2A-interacting protein,15,15,56840.6,72552.3,79362.4
Q9NXW2,DJB12_HUMAN,DNAJB12,DnaJ homolog subfamily B member 12,6,6,73691.6,83843.6,75108.5
Q9NXX6,NSE4A_HUMAN,NSMCE4A,Non-structural maintenance of chromosomes element 4 homolog A,2,2,17194,12458,16406.7
Q9NY12,GAR1_HUMAN,GAR1,H/ACA ribonucleoprotein complex subunit 1,3,3,307118,280462,291125
Q9NY26,S39A1_HUMAN,SLC39A1,Zinc transporter ZIP1,1,1,47227.7,54202.2,55102.4
Q9NY27,PP4R2_HUMAN,PPP4R2,Serine/threonine-protein phosphatase 4 regulatory subunit 2,8,8,40255,40322.7,41609.6
Q9NY33,DPP3_HUMAN,DPP3,Dipeptidyl peptidase 3,9,9,197558,247030,188044
Q9NY61,AATF_HUMAN,AATF,Protein AATF,4,4,68342.7,64459.9,64000.6
Q9NY93,DDX56_HUMAN,DDX56,Probable ATP-dependent RNA helicase DDX56,10,10,158968,181031,186806
Q9NYB0,TE2IP_HUMAN,TERF2IP,Telomeric repeat-binding factor 2-interacting protein 1,6,6,30233,40395.1,46589
Q9NYB9,ABI2_HUMAN,ABI2,Abl interactor 2,2,2,11944.8,11687.7,11573.5
Q9NYD6,HXC10_HUMAN,HOXC10,Homeobox protein Hox-C10,3,3,3120.75,2611.44,3203.99
Q9NYF8,BCLF1_HUMAN,BCLAF1,Bcl-2-associated transcription factor 1,8,8,214484,237763,227694
Q9NYG2,ZDHC3_HUMAN,ZDHHC3,Palmitoyltransferase ZDHHC3,1,1,24378.1,21285.1,13833.9
Q9NYG5,APC11_HUMAN,ANAPC11,Anaphase-promoting complex subunit 11,1,1,7501.95,,12695.8
Q9NYH9,UTP6_HUMAN,UTP6,U3 small nucleolar RNA-associated protein 6 homolog,11,11,32589.8,33937.2,31197
Q9NYJ1,COA4_HUMAN,COA4,"Cytochrome c oxidase assembly factor 4 homolog, mitochondrial",2,2,95592.1,128390,115570
Q9NYJ8,TAB2_HUMAN,TAB2,TGF-beta-activated kinase 1 and MAP3K7-binding protein 2,4,4,,,2640.29
Q9NYK5,RM39_HUMAN,MRPL39,Large ribosomal subunit protein mL39,5,5,105982,113392,107037
Q9NYL2,M3K20_HUMAN,MAP3K20,Mitogen-activated protein kinase kinase kinase 20,5,5,23994.7,30162.9,34800.4
Q9NYL4,FKB11_HUMAN,FKBP11,Peptidyl-prolyl cis-trans isomerase FKBP11,3,3,200021,152977,142676
Q9NYL9,TMOD3_HUMAN,TMOD3,Tropomodulin-3,7,6,114762,95100.9,98195.2
Q9NYM9,BET1L_HUMAN,BET1L,BET1-like protein,1,1,7999.45,9569.42,10046.5
Q9NYP7,ELOV5_HUMAN,ELOVL5,Very long chain fatty acid elongase 5,1,1,36809.4,30020.6,25324.8
Q9NYU1,UGGG2_HUMAN,UGGT2,UDP-glucose:glycoprotein glucosyltransferase 2,6,6,6811.12,7352.66,6856.27
Q9NYU2,UGGG1_HUMAN,UGGT1,UDP-glucose:glycoprotein glucosyltransferase 1,18,18,158261,154077,148167
Q9NYV4,CDK12_HUMAN,CDK12,Cyclin-dependent kinase 12,7,7,24547.1,20519.8,26865.7
Q9NYV6,RRN3_HUMAN,RRN3,RNA polymerase I-specific transcription initiation factor RRN3,2,2,9933.51,,
Q9NYY8,FAKD2_HUMAN,FASTKD2,"FAST kinase domain-containing protein 2, mitochondrial",5,5,46530.6,29893.9,31019.3
Q9NYZ1;Q96ET8,TV23B_HUMAN;TV23C_HUMAN,TVP23B;TVP23C,Golgi apparatus membrane protein TVP23 homolog C,1,0,43492.2,,
Q9NYZ3,GTSE1_HUMAN,GTSE1,G2 and S phase-expressed protein 1,3,3,,,13392.6
Q9NZ01,TECR_HUMAN,TECR,Very-long-chain enoyl-CoA reductase,3,3,174019,137440,119008
Q9NZ08,ERAP1_HUMAN,ERAP1,Endoplasmic reticulum aminopeptidase 1,17,17,74974.1,60121.4,62019.8
Q9NZ09,UBAP1_HUMAN,UBAP1,Ubiquitin-associated protein 1,2,2,4365.29,5692.11,5363.13
Q9NZ32,ARP10_HUMAN,ACTR10,Actin-related protein 10,3,3,52310.7,57042.5,53858
Q9NZ43,USE1_HUMAN,USE1,Vesicle transport protein USE1,2,2,6253.06,2555.57,
Q9NZ45,CISD1_HUMAN,CISD1,CDGSH iron-sulfur domain-containing protein 1,3,3,100333,71603.9,59110.5
Q9NZ52,GGA3_HUMAN,GGA3,ADP-ribosylation factor-binding protein GGA3,4,4,17033.6,20947.5,12660.7
Q9NZ63,TLS1_HUMAN,C9orf78,Splicing factor C9orf78,6,6,136870,164268,122668
Q9NZB2,F120A_HUMAN,FAM120A,Constitutive coactivator of PPAR-gamma-like protein 1,18,16,169741,167410,163631
Q9NZC3,GDE1_HUMAN,GDE1,Glycerophosphodiester phosphodiesterase 1,1,1,,,22132.9
Q9NZD2,GLTP_HUMAN,GLTP,Glycolipid transfer protein,1,1,22476.4,32057.9,27437.9
Q9NZD8,SPG21_HUMAN,SPG21,Maspardin,4,4,55903.8,70162.5,67431
Q9NZE8,RM35_HUMAN,MRPL35,Large ribosomal subunit protein bL35m,1,1,77362.2,62410.7,71334.1
Q9NZI8,IF2B1_HUMAN,IGF2BP1,Insulin-like growth factor 2 mRNA-binding protein 1,6,6,160774,162555,170731
Q9NZJ0,DTL_HUMAN,DTL,Denticleless protein homolog,2,2,7057.93,9333.46,7955.97
Q9NZJ6,COQ3_HUMAN,COQ3,"Ubiquinone biosynthesis O-methyltransferase, mitochondrial",2,2,17466.2,16095.2,17718
Q9NZJ7,MTCH1_HUMAN,MTCH1,Mitochondrial carrier homolog 1,2,2,51088.5,29086.1,29859.2
Q9NZJ9,NUDT4_HUMAN,NUDT4,Diphosphoinositol polyphosphate phosphohydrolase 2,1,1,29105.9,17975.6,24336.9
Q9NZL4,HPBP1_HUMAN,HSPBP1,Hsp70-binding protein 1,7,7,115145,99165.4,100481
Q9NZL9,MAT2B_HUMAN,MAT2B,Methionine adenosyltransferase 2 subunit beta,8,8,283432,224189,220407
Q9NZM1,MYOF_HUMAN,MYOF,Myoferlin,48,47,186528,160250,163709
Q9NZM3,ITSN2_HUMAN,ITSN2,Intersectin-2,7,7,11531.3,9064.67,7320.27
Q9NZM5,NOP53_HUMAN,NOP53,Ribosome biogenesis protein NOP53,1,1,55234.8,81376,91538.8
Q9NZN3,EHD3_HUMAN,EHD3,EH domain-containing protein 3,2,2,6102.82,,
Q9NZN4,EHD2_HUMAN,EHD2,EH domain-containing protein 2,4,4,20661,,19323
Q9NZN5,ARHGC_HUMAN,ARHGEF12,Rho guanine nucleotide exchange factor 12,4,4,3061.27,,2754.51
Q9NZN8,CNOT2_HUMAN,CNOT2,CCR4-NOT transcription complex subunit 2,5,5,16745.7,19711.3,17468
Q9NZQ3,SPN90_HUMAN,NCKIPSD,NCK-interacting protein with SH3 domain,3,3,34990.8,26321.5,35090.8
Q9NZT2,OGFR_HUMAN,OGFR,Opioid growth factor receptor,7,7,85683.1,87363.2,90423.7
Q9NZV1,CRIM1_HUMAN,CRIM1,Cysteine-rich motor neuron 1 protein,2,2,10204.2,11320.8,13851.8
Q9NZW5,PALS2_HUMAN,PALS2,Protein PALS2,7,6,35195.8,26110.3,19686.6
Q9P000,COMD9_HUMAN,COMMD9,COMM domain-containing protein 9,5,5,23306.7,16565.7,12592.7
Q9P003,CNIH4_HUMAN,CNIH4,Protein cornichon homolog 4,1,1,3609.72,2162.67,2292.17
Q9P013,CWC15_HUMAN,CWC15,Spliceosome-associated protein CWC15 homolog,1,1,49421.2,69452.4,48992.3
Q9P015,RM15_HUMAN,MRPL15,Large ribosomal subunit protein uL15m,5,5,102397,107884,83894.3
Q9P016,THYN1_HUMAN,THYN1,Thymocyte nuclear protein 1,1,1,11023.3,,8681.42
Q9P031,TAP26_HUMAN,CCDC59,Thyroid transcription factor 1-associated protein 26,3,3,23398.8,29115,31690.7
Q9P032,NDUF4_HUMAN,NDUFAF4,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 4,5,5,76419.9,78931.4,78231.3
Q9P035,HACD3_HUMAN,HACD3,Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 3,6,6,698167,528256,537542
Q9P0I2,EMC3_HUMAN,EMC3,ER membrane protein complex subunit 3,3,3,53516.4,39411.3,35904.4
Q9P0J0,NDUAD_HUMAN,NDUFA13,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13,2,2,15291.6,21235.9,16370.1
Q9P0J1,PDP1_HUMAN,PDP1,"[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 1, mitochondrial",1,1,10112,2046.55,3793.96
Q9P0K7,RAI14_HUMAN,RAI14,Ankycorbin,12,12,8426.25,10052.2,8583.92
Q9P0K8,FOXJ2_HUMAN,FOXJ2,Forkhead box protein J2,1,1,,,1121.73
Q9P0L0,VAPA_HUMAN,VAPA,Vesicle-associated membrane protein-associated protein A,6,5,1.19E+06,1.08E+06,1.13E+06
Q9P0M6,H2AW_HUMAN,MACROH2A2,Core histone macro-H2A.2,1,1,28839.7,27784.8,
Q9P0M9,RM27_HUMAN,MRPL27,Large ribosomal subunit protein bL27m,4,4,51577.2,51251.6,41354.7
Q9P0P0,RN181_HUMAN,RNF181,E3 ubiquitin-protein ligase RNF181,1,1,2153.25,1648.28,
Q9P0R6,GSKIP_HUMAN,GSKIP,GSK3B-interacting protein,3,3,18292.3,16048.4,12347.3
Q9P0S2,COX16_HUMAN,COX16,"Cytochrome c oxidase assembly protein COX16 homolog, mitochondrial",2,2,,,24630.7
Q9P0T4,ZN581_HUMAN,ZNF581,Zinc finger protein 581,1,1,2567.58,2966.49,
Q9P0T7,TMEM9_HUMAN,TMEM9,Proton-transporting V-type ATPase complex assembly regulator TMEM9,2,2,15793.6,28010.2,20101.2
Q9P0U3,SENP1_HUMAN,SENP1,Sentrin-specific protease 1,6,6,17216.1,22436.9,16046.2
Q9P0U4,CXXC1_HUMAN,CXXC1,CXXC-type zinc finger protein 1,5,5,13177.7,10144.6,11579.9
Q9P0V9,SEP10_HUMAN,SEPTIN10,Septin-10,4,4,51985.3,37872.7,42193.4
Q9P0W2,HM20B_HUMAN,HMG20B,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1-related,4,4,20657,16658.3,20249.1
Q9P107,GMIP_HUMAN,GMIP,GEM-interacting protein,2,2,38392.7,28780.9,
Q9P1F3,ABRAL_HUMAN,ABRACL,Costars family protein ABRACL,2,2,11136.9,7199.29,8503.59
Q9P1U1,ARP3B_HUMAN,ACTR3B,Actin-related protein 3B,3,2,8083.35,9869.24,11364.7
Q9P1Y5,CAMP3_HUMAN,CAMSAP3,Calmodulin-regulated spectrin-associated protein 3,6,6,6538.5,5309,5325.15
Q9P1Y6,PHRF1_HUMAN,PHRF1,PHD and RING finger domain-containing protein 1,2,2,,,14312.9
Q9P206,NHSL3_HUMAN,NHSL3,NHS-like protein 3,4,4,6850.09,9300.5,6450.8
Q9P215,POGK_HUMAN,POGK,Pogo transposable element with KRAB domain,3,3,12740.2,10755.1,7681.41
Q9P219,DAPLE_HUMAN,CCDC88C,Protein Daple,3,3,,7345.99,3905.03
Q9P227,RHG23_HUMAN,ARHGAP23,Rho GTPase-activating protein 23,2,2,,2093.94,2558.18
Q9P253,VPS18_HUMAN,VPS18,Vacuolar protein sorting-associated protein 18 homolog,7,7,57769.3,59135.5,59561.1
Q9P258,RCC2_HUMAN,RCC2,Protein RCC2,14,14,1.39E+06,1.38E+06,1.25E+06
Q9P260,RELCH_HUMAN,RELCH,RAB11-binding protein RELCH,8,8,31055.4,29561.3,20700.8
Q9P265,DIP2B_HUMAN,DIP2B,Disco-interacting protein 2 homolog B,15,13,45674.8,42286.2,41735.4
Q9P270,SLAI2_HUMAN,SLAIN2,SLAIN motif-containing protein 2,5,5,8285.7,12166.4,7317.01
Q9P275,UBP36_HUMAN,USP36,Ubiquitin carboxyl-terminal hydrolase 36,14,14,31532.9,34847.1,34003.2
Q9P287,BCCIP_HUMAN,BCCIP,BRCA2 and CDKN1A-interacting protein,3,3,44866.1,36770.8,29218.5
Q9P289,STK26_HUMAN,STK26,Serine/threonine-protein kinase 26,7,3,128956,101046,96414.3
Q9P291,ARMX1_HUMAN,ARMCX1,Armadillo repeat-containing X-linked protein 1,1,1,9464.43,10327.9,9568.91
Q9P2B2,FPRP_HUMAN,PTGFRN,Prostaglandin F2 receptor negative regulator,9,9,33534.1,28537.1,33331.2
Q9P2B4,CT2NL_HUMAN,CTTNBP2NL,CTTNBP2 N-terminal-like protein,8,8,13929.8,14796.5,15688.2
Q9P2C4,TM181_HUMAN,TMEM181,Transmembrane protein 181,1,1,,13162.4,19317.7
Q9P2D0,IBTK_HUMAN,IBTK,Inhibitor of Bruton tyrosine kinase,4,4,8388.88,10015.7,12599.9
Q9P2D1,CHD7_HUMAN,CHD7,Chromodomain-helicase-DNA-binding protein 7,6,4,7240.72,,7557.86
Q9P2D3,HTR5B_HUMAN,HEATR5B,HEAT repeat-containing protein 5B,11,11,15603.3,22458.1,19439.1
Q9P2E3,ZNFX1_HUMAN,ZNFX1,NFX1-type zinc finger-containing protein 1,3,3,2836.5,4575.93,5764.9
