Protein.Group,Protein.Names,Genes,First.Protein.Description,N.Sequences,N.Proteotypic.Sequences,HYEA_1,HYEA_2,HYEA_3
P62701,RS4X_HUMAN,RPS4X,"Small ribosomal subunit protein eS4, X isoform",11,4,3.90E+06,4.06E+06,3.90E+06
P62707,GPMA_ECOLI,gpmA,"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase",1,1,,193031,221699
P62714;P67775,PP2AA_HUMAN;PP2AB_HUMAN,PPP2CA;PPP2CB,Serine/threonine-protein phosphatase 2A catalytic subunit beta isoform,4,0,332772,247837,234114
P62745,RHOB_HUMAN,RHOB,Rho-related GTP-binding protein RhoB,4,3,222892,246710,227206
P62750,RL23A_HUMAN,RPL23A,Large ribosomal subunit protein uL23,5,5,2.97E+06,3.43E+06,3.35E+06
P62753,RS6_HUMAN,RPS6,Small ribosomal subunit protein eS6,9,9,2.90E+06,2.97E+06,2.91E+06
P62805,H4_HUMAN,H4C1,Histone H4,8,6,7.50E+07,8.06E+07,7.93E+07
P62820,RAB1A_HUMAN,RAB1A,Ras-related protein Rab-1A,7,3,73209,90395.2,89462.1
P62826,RAN_HUMAN,RAN,GTP-binding nuclear protein Ran,7,3,7.67E+06,6.87E+06,5.72E+06
P62829,RL23_HUMAN,RPL23,Large ribosomal subunit protein uL14,4,4,1.54E+06,1.60E+06,1.76E+06
P62834,RAP1A_HUMAN,RAP1A,Ras-related protein Rap-1A,6,1,571776,518314,482712
P62841,RS15_HUMAN,RPS15,Small ribosomal subunit protein uS19,5,5,505828,647750,653257
P62847,RS24_HUMAN,RPS24,Small ribosomal subunit protein eS24,2,2,123402,99700.4,74763.7
P62851,RS25_HUMAN,RPS25,Small ribosomal subunit protein eS25,3,3,2.66E+06,2.28E+06,1.94E+06
P62854,RS26_HUMAN,RPS26,Small ribosomal subunit protein eS26,3,1,331634,463260,557173
P62857,RS28_HUMAN,RPS28,Small ribosomal subunit protein eS28,2,2,1.83E+06,1.38E+06,1.44E+06
P62873,GBB1_HUMAN,GNB1,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1,6,3,845519,975794,1.03E+06
P62875,RPAB5_HUMAN,POLR2L,"DNA-directed RNA polymerases I, II, and III subunit RPABC5",1,1,121074,83511.6,72659.9
P62879,GBB2_HUMAN,GNB2,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2,4,1,279274,228796,268649
P62888,RL30_HUMAN,RPL30,Large ribosomal subunit protein eL30,4,4,2.04E+06,1.66E+06,1.54E+06
P62891;Q59GN2,R39L5_HUMAN;RL39_HUMAN,RPL39;RPL39P5,Large ribosomal subunit protein eL39,1,0,1.87E+06,1.35E+06,1.32E+06
P62899,RL31_HUMAN,RPL31,Large ribosomal subunit protein eL31,3,3,586683,771186,785965
P62906,RL10A_HUMAN,RPL10A,Large ribosomal subunit protein uL1,6,6,3.59E+06,2.95E+06,2.94E+06
P62910,RL32_HUMAN,RPL32,Large ribosomal subunit protein eL32,6,6,1.41E+06,1.29E+06,1.28E+06
P62913,RL11_HUMAN,RPL11,Large ribosomal subunit protein uL5,7,7,2.87E+06,2.31E+06,2.28E+06
P62917,RL8_HUMAN,RPL8,Large ribosomal subunit protein uL2,4,4,1.87E+06,2.17E+06,2.15E+06
P62937,PPIA_HUMAN,PPIA,Peptidyl-prolyl cis-trans isomerase A,9,8,1.57E+07,1.26E+07,1.16E+07
P62942,FKB1A_HUMAN,FKBP1A,Peptidyl-prolyl cis-trans isomerase FKBP1A,2,2,938886,970434,930865
P62979,RS27A_HUMAN,RPS27A,Ubiquitin-ribosomal protein eS31 fusion protein,2,1,1.77E+06,1.57E+06,1.62E+06
P62993,GRB2_HUMAN,GRB2,Growth factor receptor-bound protein 2,4,4,105079,120171,82133.1
P62995,TRA2B_HUMAN,TRA2B,Transformer-2 protein homolog beta,4,4,47958.3,52429.3,62908
