Protein.Group,Protein.Names,Genes,First.Protein.Description,N.Sequences,N.Proteotypic.Sequences,HYEA_rep111,HYEA_rep112,HYEA_rep113,HYEA_rep114
Q8NCG7,DGLB_HUMAN,DAGLB,Diacylglycerol lipase-beta,3,3,426711,435934,423837,565876
Q8NCH0,CHSTE_HUMAN,CHST14,Carbohydrate sulfotransferase 14,2,2,,117620,67925.1,138556
Q8NCJ5,SPRY3_HUMAN,SPRYD3,SPRY domain-containing protein 3,1,1,,,,15470.3
Q8NCM8,DYHC2_HUMAN,DYNC2H1,Cytoplasmic dynein 2 heavy chain 1,1,1,32583.8,,,
Q8NCN4,RN169_HUMAN,RNF169,E3 ubiquitin-protein ligase RNF169,3,3,1451.84,,2891.15,
Q8NCN5,PDPR_HUMAN,PDPR,"Pyruvate dehydrogenase phosphatase regulatory subunit, mitochondrial",8,8,38809,51949.9,47973.5,43450.1
Q8NCW5,NNRE_HUMAN,NAXE,NAD(P)H-hydrate epimerase,5,5,382130,469328,430646,454433
Q8ND04,SMG8_HUMAN,SMG8,Nonsense-mediated mRNA decay factor SMG8,3,3,,16733.6,4649.48,8679.53
Q8ND24,RN214_HUMAN,RNF214,RING finger protein 214,6,6,6865.34,5014.26,,3758.79
Q8ND56,LS14A_HUMAN,LSM14A,Protein LSM14 homolog A,2,2,51611,51283.4,57150.1,30341.9
Q8ND76,CCNY_HUMAN,CCNY,Cyclin-Y,1,1,895.36,,,
Q8ND82,Z280C_HUMAN,ZNF280C,Zinc finger protein 280C,1,1,,19102.8,,
Q8NDD1,CA131_HUMAN,C1orf131,Uncharacterized protein C1orf131,2,2,10214.1,21594.6,15645.9,
Q8NDF8,PAPD5_HUMAN,TENT4B,Terminal nucleotidyltransferase 4B,3,3,20645.5,28091.6,12287.4,
Q8NDH3,PEPL1_HUMAN,NPEPL1,Probable aminopeptidase NPEPL1,6,6,53421.2,46806.7,57429.6,54967.5
Q8NDI1,EHBP1_HUMAN,EHBP1,EH domain-binding protein 1,1,1,,,,9374.67
Q8NDX5,PHC3_HUMAN,PHC3,Polyhomeotic-like protein 3,2,2,36150.4,29372.6,20350.3,24192.1
Q8NDX6,ZN740_HUMAN,ZNF740,Zinc finger protein 740,1,1,,,3722.45,
Q8NDZ4,DIK2A_HUMAN,DIPK2A,Divergent protein kinase domain 2A,2,2,,,2433.22,
Q8NE01,CNNM3_HUMAN,CNNM3,Metal transporter CNNM3,2,2,13016.4,,,32723.7
Q8NE71,ABCF1_HUMAN,ABCF1,ATP-binding cassette sub-family F member 1,12,12,170045,197405,164425,181129
Q8NE86,MCU_HUMAN,MCU,"Calcium uniporter protein, mitochondrial",2,2,234229,174544,255001,262597
Q8NEB9,PK3C3_HUMAN,PIK3C3,Phosphatidylinositol 3-kinase catalytic subunit type 3,7,7,25836.9,25410,18471.9,22664.2
Q8NEF9,SRFB1_HUMAN,SRFBP1,Serum response factor-binding protein 1,5,5,250734,215416,190886,241835
Q8NEJ9,NGDN_HUMAN,NGDN,Neuroguidin,3,3,51215.5,64650,68801.2,85871.3
Q8NEM2,SHCBP_HUMAN,SHCBP1,SHC SH2 domain-binding protein 1,2,2,9969.68,14225.7,,5716.47
Q8NEU8,DP13B_HUMAN,APPL2,DCC-interacting protein 13-beta,2,2,,4797.47,8579.03,13503.7
Q8NEW0,ZNT7_HUMAN,SLC30A7,Zinc transporter 7,2,2,17876,16460.6,24746.7,47177
Q8NEY8,PPHLN_HUMAN,PPHLN1,Periphilin-1,1,1,,19094.6,16286.8,
Q8NEZ2,VP37A_HUMAN,VPS37A,Vacuolar protein sorting-associated protein 37A,2,2,19906.4,25719.7,26245,23098
Q8NEZ5,FBX22_HUMAN,FBXO22,F-box only protein 22,1,1,91943.4,126247,92724.6,99349.7
Q8NF37,PCAT1_HUMAN,LPCAT1,Lysophosphatidylcholine acyltransferase 1,3,3,33082.1,110175,123920,69590
Q8NFC6,BD1L1_HUMAN,BOD1L1,Biorientation of chromosomes in cell division protein 1-like 1,11,9,9830.05,14675.4,5988.06,10861.6
Q8NFD5,ARI1B_HUMAN,ARID1B,AT-rich interactive domain-containing protein 1B,2,2,,,,1458.16
Q8NFF5,FAD1_HUMAN,FLAD1,FAD synthase,4,4,,,5998.06,
Q8NFH3,NUP43_HUMAN,NUP43,Nucleoporin Nup43,2,2,14696.1,31754.9,24788.1,
Q8NFH4,NUP37_HUMAN,NUP37,Nucleoporin Nup37,4,4,176020,250490,219407,259925
Q8NFH5,NUP35_HUMAN,NUP35,Nucleoporin NUP35,4,4,68877.7,88044.8,67238.5,67628.9
Q8NFH8,REPS2_HUMAN,REPS2,RalBP1-associated Eps domain-containing protein 2,1,0,10962.2,,11420.7,4510.19
Q8NFI3,ENASE_HUMAN,ENGASE,Cytosolic endo-beta-N-acetylglucosaminidase,1,1,,,,
Q8NFJ5,RAI3_HUMAN,GPRC5A,Retinoic acid-induced protein 3,3,3,435812,524019,437805,498636
Q8NFV4,ABHDB_HUMAN,ABHD11,sn-1-specific diacylglycerol lipase ABHD11,1,1,17748.6,19595.1,17273.8,21600.4
Q8NFW8,NEUA_HUMAN,CMAS,N-acylneuraminate cytidylyltransferase,4,4,56423,35222.3,44801.6,56988
Q8NG31,KNL1_HUMAN,KNL1,Outer kinetochore KNL1 complex subunit KNL1,1,1,,,,
Q8NHG7,SVIP_HUMAN,SVIP,Small VCP/p97-interacting protein,1,1,26953.3,14446.3,20722.2,13035.9
Q8NHH9,ATLA2_HUMAN,ATL2,Atlastin-2,1,1,9926.73,10492,16709.4,19966.5
Q8NHP6,MSPD2_HUMAN,MOSPD2,Motile sperm domain-containing protein 2,3,3,44728.1,35297.7,21091,43316.5
Q8NHP8,PLBL2_HUMAN,PLBD2,Putative phospholipase B-like 2,2,2,12018.4,19953.4,15772.3,16977.5
Q8NHQ9,DDX55_HUMAN,DDX55,ATP-dependent RNA helicase DDX55,4,4,10200.7,16356.3,12035.2,16307.2
Q8NHV4,NEDD1_HUMAN,NEDD1,Protein NEDD1,2,2,9940.46,,,16373.1
Q8NI08,NCOA7_HUMAN,NCOA7,Nuclear receptor coactivator 7,5,5,,2242.55,,1696.45
Q8NI22,MCFD2_HUMAN,MCFD2,Multiple coagulation factor deficiency protein 2,1,1,186775,184512,157031,198670
Q8NI27,THOC2_HUMAN,THOC2,THO complex subunit 2,14,14,160632,154592,154220,141004
Q8NI36,WDR36_HUMAN,WDR36,WD repeat-containing protein 36,11,11,169785,182124,161739,175115
Q8NI37,PPTC7_HUMAN,PPTC7,Protein phosphatase PTC7 homolog,1,1,,5261.7,,
Q8NI60,COQ8A_HUMAN,COQ8A,"Atypical kinase COQ8A, mitochondrial",2,2,,,,2294.53
Q8TAA5,GRPE2_HUMAN,GRPEL2,"GrpE protein homolog 2, mitochondrial",2,2,8917.75,10812.3,9724.47,11843.6
Q8TAA9,VANG1_HUMAN,VANGL1,Vang-like protein 1,2,2,,7526,6801.11,5365.43
Q8TAD7,OCC1_HUMAN,OCC1,Overexpressed in colon carcinoma 1 protein,1,1,6086.09,,,
Q8TAD8,SNIP1_HUMAN,SNIP1,Smad nuclear-interacting protein 1,1,1,1033.7,,,1195.19
Q8TAF3,WDR48_HUMAN,WDR48,WD repeat-containing protein 48,7,7,21735.7,24587.4,29645.6,23257
Q8TAG9,EXOC6_HUMAN,EXOC6,Exocyst complex component 6,1,1,,,17360.9,
Q8TAP9,MPLKI_HUMAN,MPLKIP,M-phase-specific PLK1-interacting protein,1,1,,6204.52,,6247.02
Q8TAQ2,SMRC2_HUMAN,SMARCC2,SWI/SNF complex subunit SMARCC2,8,6,70084.2,79644.4,65736.9,78575.3
Q8TAT6,NPL4_HUMAN,NPLOC4,Nuclear protein localization protein 4 homolog,2,2,142131,152862,130655,142744
Q8TB03,CX038_HUMAN,CXorf38,Uncharacterized protein CXorf38,2,2,114738,91555.4,99462.5,76807.5
Q8TB36,GDAP1_HUMAN,GDAP1,Ganglioside-induced differentiation-associated protein 1,3,3,41308.3,43432.6,44429.3,30002.2
Q8TB45,DPTOR_HUMAN,DEPTOR,DEP domain-containing mTOR-interacting protein,3,3,2256.02,,,
Q8TB61,S35B2_HUMAN,SLC35B2,Adenosine 3'-phospho 5'-phosphosulfate transporter 1,4,4,50718.2,58931.4,55356.1,55516.5
Q8TB72,PUM2_HUMAN,PUM2,Pumilio homolog 2,5,4,32960.7,42293.7,24827.1,37321.2
Q8TB96,TIP_HUMAN,ITFG1,T-cell immunomodulatory protein,1,1,,,,1019.9
Q8TBA6,GOGA5_HUMAN,GOLGA5,Golgin subfamily A member 5,5,5,4721.54,,,4094.57
Q8TBB5,KLDC4_HUMAN,KLHDC4,Kelch domain-containing protein 4,3,3,47689.6,30079.3,32071.7,45912.8
Q8TBC4,UBA3_HUMAN,UBA3,NEDD8-activating enzyme E1 catalytic subunit,3,3,128516,82709,125969,120147
Q8TBM8,DJB14_HUMAN,DNAJB14,DnaJ homolog subfamily B member 14,2,2,,1393.04,3156.2,
Q8TBP6,S2540_HUMAN,SLC25A40,Mitochondrial glutathione transporter SLC25A40,1,1,,,,
Q8TBX8,PI42C_HUMAN,PIP4K2C,Phosphatidylinositol 5-phosphate 4-kinase type-2 gamma,1,1,30994.9,51087,33119,47084.4
Q8TC07,TBC15_HUMAN,TBC1D15,TBC1 domain family member 15,7,7,67798.1,96618.3,80702.3,73869.4
Q8TC12,RDH11_HUMAN,RDH11,Retinol dehydrogenase 11,3,3,127627,171162,179644,169556
Q8TCA0,LRC20_HUMAN,LRRC20,Leucine-rich repeat-containing protein 20,1,1,,12951.4,,
Q8TCD1,CR032_HUMAN,C18orf32,UPF0729 protein C18orf32,1,1,26773.7,,,
Q8TCD5,NT5C_HUMAN,NT5C,"5'(3')-deoxyribonucleotidase, cytosolic type",1,1,,,,
Q8TCG1,CIP2A_HUMAN,CIP2A,Protein CIP2A,3,3,,13967.2,4379.57,7491.6
Q8TCJ2,STT3B_HUMAN,STT3B,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3B,5,5,92896.5,110553,79903.2,86650.1
Q8TCS8,PNPT1_HUMAN,PNPT1,"Polyribonucleotide nucleotidyltransferase 1, mitochondrial",14,14,186431,214381,204615,207915
Q8TCT9,HM13_HUMAN,HM13,Minor histocompatibility antigen H13,4,4,543397,630534,533312,621798
Q8TD16,BICD2_HUMAN,BICD2,Protein bicaudal D homolog 2,3,3,3892.09,,,
Q8TD19,NEK9_HUMAN,NEK9,Serine/threonine-protein kinase Nek9,9,9,34242.8,43802.1,33425.4,44707.9
Q8TDB6,DTX3L_HUMAN,DTX3L,E3 ubiquitin-protein ligase DTX3L,5,5,10153.8,9555.78,8163.51,9895.42
Q8TDD1,DDX54_HUMAN,DDX54,ATP-dependent RNA helicase DDX54,8,8,88039.2,96668.8,94832,97542.9
Q8TDH9,BL1S5_HUMAN,BLOC1S5,Biogenesis of lysosome-related organelles complex 1 subunit 5,1,1,25605.4,37373,44443.1,48421.5
Q8TDJ6,DMXL2_HUMAN,DMXL2,DmX-like protein 2,1,1,,,,
Q8TDM6,DLG5_HUMAN,DLG5,Disks large homolog 5,2,2,,,,
Q8TDN6,BRX1_HUMAN,BRIX1,Ribosome biogenesis protein BRX1 homolog,4,4,111631,133823,102799,39170.1
Q8TDQ7,GNPI2_HUMAN,GNPDA2,Glucosamine-6-phosphate isomerase 2,1,1,,,73842.8,
Q8TDW0,LRC8C_HUMAN,LRRC8C,Volume-regulated anion channel subunit LRRC8C,1,1,,,,
Q8TDX7,NEK7_HUMAN,NEK7,Serine/threonine-protein kinase Nek7,6,4,70004.8,87021.1,64257,64921.1
Q8TDY2,RBCC1_HUMAN,RB1CC1,RB1-inducible coiled-coil protein 1,1,1,,,2795.75,
Q8TE77,SSH3_HUMAN,SSH3,Protein phosphatase Slingshot homolog 3,2,2,7175.94,7377.92,8565.05,9068.71
Q8TEA8,DTD1_HUMAN,DTD1,D-aminoacyl-tRNA deacylase 1,2,2,52340,52023,32607.7,39770.6
Q8TEB1,DCA11_HUMAN,DCAF11,DDB1- and CUL4-associated factor 11,2,2,,,,
Q8TED0,UTP15_HUMAN,UTP15,U3 small nucleolar RNA-associated protein 15 homolog,7,7,30635.3,55111.1,38484.4,48421.6
Q8TED1,GPX8_HUMAN,GPX8,Probable glutathione peroxidase 8,4,4,194956,206876,157876,210830
Q8TEH3,DEN1A_HUMAN,DENND1A,DENN domain-containing protein 1A,1,1,,,,
Q8TEM1,PO210_HUMAN,NUP210,Nuclear pore membrane glycoprotein 210,12,12,82968.5,107811,95468.9,98559.4
Q8TEP8,CE192_HUMAN,CEP192,Centrosomal protein of 192 kDa,1,1,,,,996.585
Q8TEQ0,SNX29_HUMAN,SNX29,Sorting nexin-29,1,1,,,,
Q8TEQ6,GEMI5_HUMAN,GEMIN5,Gem-associated protein 5,15,15,46508.5,50885.3,46320.9,67452.4
Q8TER5,ARH40_HUMAN,ARHGEF40,Rho guanine nucleotide exchange factor 40,2,2,,,,
Q8TEU7,RPGF6_HUMAN,RAPGEF6,Rap guanine nucleotide exchange factor 6,1,0,,,,
Q8TEW0,PARD3_HUMAN,PARD3,Partitioning defective 3 homolog,1,1,,,,4077.73
Q8TEX9,IPO4_HUMAN,IPO4,Importin-4,9,9,177411,196941,193152,188969
Q8TF01,PNISR_HUMAN,PNISR,Arginine/serine-rich protein PNISR,2,2,,12373.9,13264.9,30660.9
Q8TF05,PP4R1_HUMAN,PPP4R1,Serine/threonine-protein phosphatase 4 regulatory subunit 1,2,2,3613.65,3157.32,4765.49,
Q8TF46,DI3L1_HUMAN,DIS3L,DIS3-like exonuclease 1,2,2,,152104,,
Q8TF68,ZN384_HUMAN,ZNF384,Zinc finger protein 384,1,0,7146.83,,,
Q8TF74,WIPF2_HUMAN,WIPF2,WAS/WASL-interacting protein family member 2,3,3,,24575.5,14638.1,21222.6
Q8WTS6,SETD7_HUMAN,SETD7,Histone-lysine N-methyltransferase SETD7,2,2,48816.3,74096.6,56526.8,52645.9
Q8WTT2,NOC3L_HUMAN,NOC3L,Nucleolar complex protein 3 homolog,6,6,67467,82475.5,58660.9,84857
Q8WTV0,SCRB1_HUMAN,SCARB1,Scavenger receptor class B member 1,2,2,62390,108836,54002.4,104085
Q8WTW3,COG1_HUMAN,COG1,Conserved oligomeric Golgi complex subunit 1,3,3,16564,,11433.5,25286
Q8WU10,PYRD1_HUMAN,PYROXD1,Pyridine nucleotide-disulfide oxidoreductase domain-containing protein 1,2,2,,8752.05,,9010.29
Q8WU79,SMAP2_HUMAN,SMAP2,Stromal membrane-associated protein 2,1,1,,,,5538.08
Q8WU90,ZC3HF_HUMAN,ZC3H15,Zinc finger CCCH domain-containing protein 15,4,4,35333.9,32607.1,31855.3,28947.3
Q8WUA2,PPIL4_HUMAN,PPIL4,Peptidyl-prolyl cis-trans isomerase-like 4,4,4,30191.1,30835.9,37689.2,27573.5
Q8WUA4,TF3C2_HUMAN,GTF3C2,General transcription factor 3C polypeptide 2,2,2,25072.9,23687.8,,23410.4
Q8WUA7,TB22A_HUMAN,TBC1D22A,TBC1 domain family member 22A,1,1,113113,,,139508
Q8WUB8,PHF10_HUMAN,PHF10,PHD finger protein 10,1,1,,,27562.9,21820.4
Q8WUD1,RAB2B_HUMAN,RAB2B,Ras-related protein Rab-2B,5,1,178543,224628,163973,159819
Q8WUD4,CCD12_HUMAN,CCDC12,Coiled-coil domain-containing protein 12,1,1,,8350.29,2628.14,
Q8WUF5,IASPP_HUMAN,PPP1R13L,RelA-associated inhibitor,4,4,2496.63,7627.23,7729.18,
Q8WUF8,ARB2A_HUMAN,ARB2A,Cotranscriptional regulator ARB2A,2,2,,7455.88,9165.14,10446.4
Q8WUH1,CHUR_HUMAN,CHURC1,Protein Churchill,2,2,9787.19,8057.96,8955.76,9820.87
Q8WUH2,TGFA1_HUMAN,TGFBRAP1,Transforming growth factor-beta receptor-associated protein 1,1,1,,,,
Q8WUH6,TM263_HUMAN,TMEM263,Transmembrane protein 263,2,2,41770.1,73976.9,54303.8,52802.9
Q8WUK0,PTPM1_HUMAN,PTPMT1,Phosphatidylglycerophosphatase and protein-tyrosine phosphatase 1,4,4,15285.4,9900.63,10617.2,11025.5
Q8WUM0,NU133_HUMAN,NUP133,Nuclear pore complex protein Nup133,8,8,88942,89503.2,93751.8,115125
Q8WUM4,PDC6I_HUMAN,PDCD6IP,Programmed cell death 6-interacting protein,15,15,441163,547326,477818,507299
Q8WUR7,CO040_HUMAN,C15orf40,UPF0235 protein C15orf40,1,1,90297.8,121609,51316,108310
Q8WUW1,BRK1_HUMAN,BRK1,Protein BRICK1,1,1,,17101.3,20329.8,
Q8WUX1,S38A5_HUMAN,SLC38A5,Sodium-coupled neutral amino acid transporter 5,4,4,372508,416490,385185,305869
Q8WUX2,CHAC2_HUMAN,CHAC2,Glutathione-specific gamma-glutamylcyclotransferase 2,2,2,8273.68,12032.4,16038.3,11294.9
Q8WUX9,CHMP7_HUMAN,CHMP7,Charged multivesicular body protein 7,6,6,52228.1,65496.5,52101.4,49145.4
Q8WUY1,THEM6_HUMAN,THEM6,Protein THEM6,4,4,27736.5,52540.8,41182.2,39605.8
Q8WV22,NSE1_HUMAN,NSMCE1,Non-structural maintenance of chromosomes element 1 homolog,2,2,3801.92,3584.21,2317.21,4748.54
Q8WV74,NUDT8_HUMAN,NUDT8,Mitochondrial coenzyme A diphosphatase NUDT8,1,1,,,,
Q8WVB6,CTF18_HUMAN,CHTF18,Chromosome transmission fidelity protein 18 homolog,2,2,7558.1,,,
Q8WVC0,LEO1_HUMAN,LEO1,RNA polymerase-associated protein LEO1,3,3,26519.7,52318,41276.2,50229.9
Q8WVC6,DCAKD_HUMAN,DCAKD,Dephospho-CoA kinase domain-containing protein,1,1,,39442.7,42622.5,
Q8WVI0,UQCC5_HUMAN,UQCC5,Ubiquinol-cytochrome c reductase complex assembly factor 5,1,1,,,,9430.68
Q8WVJ2,NUDC2_HUMAN,NUDCD2,NudC domain-containing protein 2,2,2,306386,373302,318839,325232
Q8WVK2,SNR27_HUMAN,SNRNP27,U4/U6.U5 small nuclear ribonucleoprotein 27 kDa protein,3,3,19387.5,35641.6,33406.3,33771.8
Q8WVM0,TFB1M_HUMAN,TFB1M,"Dimethyladenosine transferase 1, mitochondrial",1,1,3178.27,10708,7427.76,11005.9
Q8WVM7,STAG1_HUMAN,STAG1,Cohesin subunit SA-1,5,5,75723.8,85675.1,84008.4,87623.4
Q8WVM8,SCFD1_HUMAN,SCFD1,Sec1 family domain-containing protein 1,5,5,48006.2,50495.3,47450,53546.5
Q8WVQ1,CANT1_HUMAN,CANT1,Soluble calcium-activated nucleotidase 1,1,1,2769.33,,,
Q8WVT3,TPC12_HUMAN,TRAPPC12,Trafficking protein particle complex subunit 12,3,3,4390.86,2820.9,4626.72,13695.5
Q8WVV9,HNRLL_HUMAN,HNRNPLL,Heterogeneous nuclear ribonucleoprotein L-like,3,3,54203.9,46153.1,47065.8,48235.1
Q8WVX9,FACR1_HUMAN,FAR1,Fatty acyl-CoA reductase 1,5,5,17358.5,23103.3,21242.9,16654
Q8WVY7,UBCP1_HUMAN,UBLCP1,Ubiquitin-like domain-containing CTD phosphatase 1,6,6,237833,337988,251395,305001
Q8WW12,PCNP_HUMAN,PCNP,PEST proteolytic signal-containing nuclear protein,3,3,192958,228538,237726,205788
Q8WW22,DNJA4_HUMAN,DNAJA4,DnaJ homolog subfamily A member 4,5,5,27971.5,37150.6,31997.1,24610
Q8WW59,SPRY4_HUMAN,SPRYD4,SPRY domain-containing protein 4,5,5,33214.1,50625.2,34370.8,36741.6
Q8WWC4,MAIP1_HUMAN,MAIP1,"m-AAA protease-interacting protein 1, mitochondrial",3,3,19646.1,18130.1,19477.7,12289.3
Q8WWH5,TRUB1_HUMAN,TRUB1,Pseudouridylate synthase TRUB1,6,6,,48191.3,68791.5,47612.1
Q8WWI1,LMO7_HUMAN,LMO7,LIM domain only protein 7,19,19,114883,115561,107805,126487
Q8WWI5,CTL1_HUMAN,SLC44A1,Choline transporter-like protein 1,3,3,19385.2,22821.7,20629.7,32375.1
Q8WWK9,CKAP2_HUMAN,CKAP2,Cytoskeleton-associated protein 2,5,5,2780.65,4122.34,4480.22,5622.02
Q8WWM7,ATX2L_HUMAN,ATXN2L,Ataxin-2-like protein,5,5,145529,193929,144866,169373
Q8WWQ0,PHIP_HUMAN,PHIP,PH-interacting protein,9,8,59566.7,71573.7,54944.1,78569.2
Q8WWV3,RT4I1_HUMAN,RTN4IP1,"Reticulon-4-interacting protein 1, mitochondrial",6,6,31035.5,41408,40932.5,31148.2
Q8WWY3,PRP31_HUMAN,PRPF31,U4/U6 small nuclear ribonucleoprotein Prp31,6,6,106557,139430,125760,114029
Q8WX92,NELFB_HUMAN,NELFB,Negative elongation factor B,4,4,97472.4,105847,98172.2,106110
Q8WX93,PALLD_HUMAN,PALLD,Palladin,14,13,108847,133643,120688,127726
Q8WXA3,RUFY2_HUMAN,RUFY2,RUN and FYVE domain-containing protein 2,1,1,,3794.08,,
Q8WXA9,SREK1_HUMAN,SREK1,Splicing regulatory glutamine/lysine-rich protein 1,2,2,36964.5,35364.6,24953.1,31714.5
Q8WXD5,GEMI6_HUMAN,GEMIN6,Gem-associated protein 6,3,3,64714.1,59711.4,44413.4,71067.6
Q8WXF1,PSPC1_HUMAN,PSPC1,Paraspeckle component 1,3,3,,13773.2,31940.5,28667.7
Q8WXG6,MADD_HUMAN,MADD,MAP kinase-activating death domain protein,4,4,,,2573.06,3129.6
Q8WXH0,SYNE2_HUMAN,SYNE2,Nesprin-2,29,29,30020.7,27649.6,25872.9,24030.5
Q8WXI7,MUC16_HUMAN,MUC16,Mucin-16,3,3,13904.8,23449.4,26198,41924
Q8WXI9,P66B_HUMAN,GATAD2B,Transcriptional repressor p66-beta,7,7,9667.26,9622.97,14117.5,11958.8
Q8WXW3,PIBF1_HUMAN,PIBF1,Progesterone-induced-blocking factor 1,1,1,15523.4,,,
Q8WXX5,DNJC9_HUMAN,DNAJC9,DnaJ homolog subfamily C member 9,4,4,293728,347889,325143,226166
Q8WYA6,CTBL1_HUMAN,CTNNBL1,Beta-catenin-like protein 1,3,3,94470.1,153567,148204,117641
Q8WYL5,SSH1_HUMAN,SSH1,Protein phosphatase Slingshot homolog 1,1,1,,,,
Q8WYP5,ELYS_HUMAN,AHCTF1,Protein ELYS,21,21,47765.7,55732.2,58707.5,51864.2
Q8WZ82,OVCA2_HUMAN,OVCA2,Esterase OVCA2,1,1,,,11747.3,9868.12
Q8WZA0,LZIC_HUMAN,LZIC,Protein LZIC,2,2,31542.8,36775.1,36367.9,21036.4
Q8WZA9,IRGQ_HUMAN,IRGQ,Immunity-related GTPase family Q protein,2,2,16046,16491.8,,18466
Q92317,NCB2_YEAST,NCB2,Negative cofactor 2 complex subunit beta,2,2,24607.6,26066.2,26406.1,17889.1
Q92331,VPS5_YEAST,VPS5,Vacuolar protein sorting-associated protein 5,2,2,11128.6,12837.6,13741,
Q92466,DDB2_HUMAN,DDB2,DNA damage-binding protein 2,4,4,382607,447947,393366,477991
Q92485,ASM3B_HUMAN,SMPDL3B,Acid sphingomyelinase-like phosphodiesterase 3b,1,1,2034.7,,,2360.08
Q92499,DDX1_HUMAN,DDX1,ATP-dependent RNA helicase DDX1,13,13,518973,562014,574842,627761
Q92506,DHB8_HUMAN,HSD17B8,(3R)-3-hydroxyacyl-CoA dehydrogenase,4,4,36605.4,48075.4,43828.5,35081.2
Q92508,PIEZ1_HUMAN,PIEZO1,Piezo-type mechanosensitive ion channel component 1,1,1,,,,
Q92520,FAM3C_HUMAN,FAM3C,Protein FAM3C,3,3,27991.2,26794.3,24735.5,23681.6
Q92522,H1X_HUMAN,H1-10,Histone H1.10,3,3,566624,648243,594421,673694
Q92530,PSMF1_HUMAN,PSMF1,Proteasome inhibitor PI31 subunit,2,2,78419.8,80870.5,81261.1,88839.7
Q92538,GBF1_HUMAN,GBF1,Golgi-specific brefeldin A-resistance guanine nucleotide exchange factor 1,14,14,42078.3,52181.3,38710.7,50406.4
Q92540,SMG7_HUMAN,SMG7,Nonsense-mediated mRNA decay factor SMG7,2,2,,,,2778.33
Q92541,RTF1_HUMAN,RTF1,RNA polymerase-associated protein RTF1 homolog,12,12,100359,100839,106229,106058
Q92542,NICA_HUMAN,NCSTN,Nicastrin,2,2,75325,82416.8,74643,77963.3
Q92544,TM9S4_HUMAN,TM9SF4,Transmembrane 9 superfamily member 4,3,3,67287.7,48851.4,55608.6,75286
Q92545,TM131_HUMAN,TMEM131,Transmembrane protein 131,1,1,,,,
Q92547,TOPB1_HUMAN,TOPBP1,DNA topoisomerase 2-binding protein 1,4,4,996.505,,,903.627
Q92552,RT27_HUMAN,MRPS27,Small ribosomal subunit protein mS27,1,1,114939,122841,92013.5,131136
Q92564,DCNL4_HUMAN,DCUN1D4,DCN1-like protein 4,1,1,,,,
Q92575,UBXN4_HUMAN,UBXN4,UBX domain-containing protein 4,2,2,35009.1,45599.7,39070.7,40461.4
Q92576,PHF3_HUMAN,PHF3,PHD finger protein 3,7,7,,4902.85,4654.31,6195.7
Q92581,SL9A6_HUMAN,SLC9A6,Sodium/hydrogen exchanger 6,2,2,3485.49,4590.48,5117.44,
Q92597,NDRG1_HUMAN,NDRG1,Protein NDRG1,3,3,49688.9,50317.4,54621.5,73740.6
Q92598,HS105_HUMAN,HSPH1,Heat shock protein 105 kDa,11,10,484384,538745,460324,528248
Q92599,SEPT8_HUMAN,SEPTIN8,Septin-8,3,3,33663.1,44657.3,45870.9,50919.9
Q92600,CNOT9_HUMAN,CNOT9,CCR4-NOT transcription complex subunit 9,3,3,7860.42,6417.25,13371.4,11439.2
Q92604,LGAT1_HUMAN,LPGAT1,Acyl-CoA:lysophosphatidylglycerol acyltransferase 1,1,1,,,6291.25,
Q92609,TBCD5_HUMAN,TBC1D5,TBC1 domain family member 5,4,4,,3008.31,,4144.25
Q92613,JADE3_HUMAN,JADE3,Protein Jade-3,1,1,,,,
Q92614,MY18A_HUMAN,MYO18A,Unconventional myosin-XVIIIa,15,15,46057.9,49267.7,49367.2,52670.1
Q92615,LAR4B_HUMAN,LARP4B,La-related protein 4B,5,5,92279.4,102163,96030.4,105465
Q92616,GCN1_HUMAN,GCN1,Stalled ribosome sensor GCN1,42,42,269794,323284,280196,297123
Q92619,HMHA1_HUMAN,ARHGAP45,Rho GTPase-activating protein 45,1,1,,,3732.89,
Q92620,PRP16_HUMAN,DHX38,Pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16,8,8,28202.3,31556.9,33849.9,33901.6
Q92621,NU205_HUMAN,NUP205,Nuclear pore complex protein Nup205,14,14,113405,131564,127007,115437
Q92625,ANS1A_HUMAN,ANKS1A,Ankyrin repeat and SAM domain-containing protein 1A,1,1,11040.5,,,
Q92626,PXDN_HUMAN,PXDN,Peroxidasin homolog,2,2,,,,
Q92643,GPI8_HUMAN,PIGK,GPI-anchor transamidase,3,3,38651.3,62216.9,64583.7,70943.2
Q92664,TF3A_HUMAN,GTF3A,Transcription factor IIIA,2,2,,1170.07,,2663.85
Q92665,RT31_HUMAN,MRPS31,Small ribosomal subunit protein mS31,1,1,42850.5,47278.3,43081.4,36554.1
Q92667,AKAP1_HUMAN,AKAP1,"A-kinase anchor protein 1, mitochondrial",7,7,7901.14,8737.37,8459.62,10046.2
Q92685,ALG3_HUMAN,ALG3,"Dol-P-Man:Man(5)GlcNAc(2)-PP-Dol alpha-1,3-mannosyltransferase",1,1,15904.9,,12663.9,31182.8
Q92688,AN32B_HUMAN,ANP32B,Acidic leucine-rich nuclear phosphoprotein 32 family member B,4,3,1.66E+06,1.97E+06,1.63E+06,2.18E+06
Q92692,NECT2_HUMAN,NECTIN2,Nectin-2,1,1,,,,
