Protein.Group,Protein.Names,Genes,First.Protein.Description,N.Sequences,N.Proteotypic.Sequences,150H100Y_1,150H100Y_2,150H100Y_3,200H50Y_1,200H50Y_2,200H50Y_3,240H10Y_1,240H10Y_2,240H10Y_3
Q8TDW0,LRC8C_HUMAN,LRRC8C,Volume-regulated anion channel subunit LRRC8C,1,1,,,4558.66,4501.46,5375.88,3969.39,2681.65,3247.28,3422.8
Q8TDX6,CGAT1_HUMAN,CSGALNACT1,Chondroitin sulfate N-acetylgalactosaminyltransferase 1,2,1,,,4531.8,,,,3498.68,,
Q8TDX7,NEK7_HUMAN,NEK7,Serine/threonine-protein kinase Nek7,6,5,85524.3,61781.5,58666.2,66157.1,83335.8,78990.5,69509.9,57670,60970.6
Q8TDY2,RBCC1_HUMAN,RB1CC1,RB1-inducible coiled-coil protein 1,5,5,2359.53,2509.63,1943.6,,2267.81,2575.16,3007.14,2646.2,2442.87
Q8TE02,ELP5_HUMAN,ELP5,Elongator complex protein 5,3,3,13200,,13475.4,10985.7,14793.5,12293.1,10586.3,17671.4,14314.8
Q8TE77,SSH3_HUMAN,SSH3,Protein phosphatase Slingshot homolog 3,5,5,14924.3,15105.5,14630.4,21181.2,23721.5,22118.6,21398.7,21921.7,19516.8
Q8TEA8,DTD1_HUMAN,DTD1,D-aminoacyl-tRNA deacylase 1,3,3,59975.7,57019.5,40298.2,49554.5,64757.7,59691.8,48103.6,48196.1,51838.7
Q8TEB1,DCA11_HUMAN,DCAF11,DDB1- and CUL4-associated factor 11,3,3,5600.25,4911.44,5364.06,5152.29,4714.83,5697.9,3887.95,4091.92,5380.27
Q8TED0,UTP15_HUMAN,UTP15,U3 small nucleolar RNA-associated protein 15 homolog,8,8,135823,111669,102895,117154,136299,117768,108149,136598,119467
Q8TED1,GPX8_HUMAN,GPX8,Probable glutathione peroxidase 8,4,4,138496,107660,108030,135472,177601,174582,113561,127299,122874
Q8TEH3,DEN1A_HUMAN,DENND1A,DENN domain-containing protein 1A,6,6,10187.7,11929.3,11451.7,15049.3,14899.8,20077.4,10527.1,15895.2,12429.8
Q8TEM1,PO210_HUMAN,NUP210,Nuclear pore membrane glycoprotein 210,25,25,123214,105784,105160,103989,156826,132797,118940,120417,116571
Q8TEP8,CE192_HUMAN,CEP192,Centrosomal protein of 192 kDa,3,3,2069.36,2912.66,2509.13,4296.12,4278.38,,2390.61,3881.18,3409.74
Q8TEQ6,GEMI5_HUMAN,GEMIN5,Gem-associated protein 5,23,23,127957,138428,131553,144435,178114,169374,122954,151794,148713
Q8TEQ8,PIGO_HUMAN,PIGO,GPI ethanolamine phosphate transferase 3,1,1,5782.9,5890.39,7572.24,3588.45,5665.57,6056.33,5865.73,5917.85,6501.91
Q8TER5,ARH40_HUMAN,ARHGEF40,Rho guanine nucleotide exchange factor 40,3,3,2310.75,1829.55,,2721.28,2833.4,1361.41,1403.64,,1935.8
Q8TEU7,RPGF6_HUMAN,RAPGEF6,Rap guanine nucleotide exchange factor 6,5,4,4893.17,6828.75,5759.31,4766.08,10277.7,9026.78,5604.53,7918.63,8405.96
Q8TEV9,SMCR8_HUMAN,SMCR8,Guanine nucleotide exchange protein SMCR8,2,2,5180.72,5719.88,6047.03,8538.07,9349.12,7266.53,,2417.99,4071.67
Q8TEW0,PARD3_HUMAN,PARD3,Partitioning defective 3 homolog,6,6,5213.71,6041.2,4251.43,6514.34,8695.94,9802,6073.35,7780.15,4214.76
Q8TEX9,IPO4_HUMAN,IPO4,Importin-4,19,19,349607,269075,256901,313664,388307,361522,269327,262530,262029
Q8TF01,PNISR_HUMAN,PNISR,Arginine/serine-rich protein PNISR,4,4,14413.3,14232.4,12429.3,15674.8,18419,19899.8,13503.7,15509.5,11927.5
Q8TF05,PP4R1_HUMAN,PPP4R1,Serine/threonine-protein phosphatase 4 regulatory subunit 1,4,4,14869.4,17397.4,19985.5,13834,27134.5,25916.9,20274,22837.2,18382.1
Q8TF46,DI3L1_HUMAN,DIS3L,DIS3-like exonuclease 1,3,3,4035.21,6517.85,,4588.31,5535.91,4930.44,3566.59,5634.17,6361.05
Q8TF64,GIPC3_HUMAN,GIPC3,PDZ domain-containing protein GIPC3,2,2,1058.9,660.188,,1178.78,,1526.06,,496.718,475.158
Q8TF68,ZN384_HUMAN,ZNF384,Zinc finger protein 384,3,2,16023.6,28326.9,16972.1,25075.4,36842,28878.8,29025,24948.3,25559.2
Q8TF74,WIPF2_HUMAN,WIPF2,WAS/WASL-interacting protein family member 2,8,8,18845,14826,13345.9,15746,24953.9,18552.9,16690.3,19101.2,17122.6
Q8TF76,HASP_HUMAN,HASPIN,Serine/threonine-protein kinase haspin,3,3,2805.61,,3104.85,5267.43,3375.51,4432.52,2527.54,3998.2,2725.62
Q8TGJ3,KISH_YEAST,KSH1,Protein Kish,1,1,11799.9,7637.38,5747.83,,3230.33,3814.85,1697.56,,
Q8WTS1,ABHD5_HUMAN,ABHD5,1-acylglycerol-3-phosphate O-acyltransferase ABHD5,4,4,4484.53,,4422.02,,6569.99,5987.42,4154.23,4206.83,4991.04
Q8WTS6,SETD7_HUMAN,SETD7,Histone-lysine N-methyltransferase SETD7,5,5,23720.2,33805.1,27705.8,25621.6,29290.9,37470.5,23329.9,26879.2,32002
Q8WTT2,NOC3L_HUMAN,NOC3L,Nucleolar complex protein 3 homolog,8,8,121773,128002,119737,146506,178930,155476,122236,138178,142580
Q8WTV0,SCRB1_HUMAN,SCARB1,Scavenger receptor class B member 1,4,4,124294,130450,123987,126162,170311,138571,120304,131623,157053
Q8WTW3,COG1_HUMAN,COG1,Conserved oligomeric Golgi complex subunit 1,4,4,25194.1,29399.1,33438,25696.6,33642.7,37604.1,23337.3,28358.5,26325.2
Q8WU10,PYRD1_HUMAN,PYROXD1,Pyridine nucleotide-disulfide oxidoreductase domain-containing protein 1,2,2,7334.08,4878.25,,3803.29,,7940.41,6702.67,4379.34,9363.75
Q8WU76,SCFD2_HUMAN,SCFD2,Sec1 family domain-containing protein 2,1,1,2135.38,,3449.08,,3263.49,3094.24,3938.31,3762.41,3293.21
Q8WU79,SMAP2_HUMAN,SMAP2,Stromal membrane-associated protein 2,3,3,22704.3,19656,17638,11935.4,22191.5,20645,17462.5,19325.1,16486.4
Q8WU90,ZC3HF_HUMAN,ZC3H15,Zinc finger CCCH domain-containing protein 15,7,7,101531,95596.2,96002.6,83193,121642,108538,104908,108765,104682
Q8WUA2,PPIL4_HUMAN,PPIL4,Peptidyl-prolyl cis-trans isomerase-like 4,6,6,63650.5,55569.7,52118.6,60689.9,76287,59207.5,44782.5,51423.3,47724
Q8WUA4,TF3C2_HUMAN,GTF3C2,General transcription factor 3C polypeptide 2,4,4,46208.8,43918,38935.8,40318.7,46811.2,51349.1,41931,48478.7,49898.6
Q8WUB8,PHF10_HUMAN,PHF10,PHD finger protein 10,6,6,44414.2,48127.5,58468.6,52050.8,63344.8,50654.5,58163.3,58958.2,60686.8
Q8WUD1,RAB2B_HUMAN,RAB2B,Ras-related protein Rab-2B,2,2,10745.2,10150.3,6845.91,7084.05,10420.7,7127.38,10105.4,10798.8,10074
Q8WUD4,CCD12_HUMAN,CCDC12,Coiled-coil domain-containing protein 12,1,1,4720.65,,,17241.1,13656,11724,9025.22,14960.9,8564.48
Q8WUD6,CHPT1_HUMAN,CHPT1,Cholinephosphotransferase 1,1,1,3773.3,2001.01,2798.68,2269.29,5633.58,5698.87,3942.01,6680.19,4224.9
Q8WUF5,IASPP_HUMAN,PPP1R13L,RelA-associated inhibitor,6,6,17629.8,14349.6,15025.5,17096.5,18972.6,17228.3,18482.7,17192.2,16242.3
Q8WUF8,ARB2A_HUMAN,ARB2A,Cotranscriptional regulator ARB2A,3,3,23512.8,20487.4,18586.2,17928.7,24594.8,25436.2,11673.5,15191.3,8707.41
Q8WUH1,CHUR_HUMAN,CHURC1,Protein Churchill,2,2,15674.2,13857.8,12841.4,21267.1,27032.8,15224.3,13172.6,13919.9,13482.9
Q8WUH2,TGFA1_HUMAN,TGFBRAP1,Transforming growth factor-beta receptor-associated protein 1,4,4,2717.35,4677.26,3563.97,4642.58,5013.15,4360.35,3974.45,4478.59,4942.27
Q8WUH6,TM263_HUMAN,TMEM263,Transmembrane protein 263,3,3,80997.8,46484.3,41091.2,61624.6,80146.7,62879,62822.1,53108.6,55526.4
Q8WUI4,HDAC7_HUMAN,HDAC7,Histone deacetylase 7,1,1,,,,,,,,3050.55,4047.4
Q8WUJ0,STYX_HUMAN,STYX,Serine/threonine/tyrosine-interacting protein,1,1,,,,1778.53,4107.58,,2652.42,2081.96,2189.73
Q8WUK0,PTPM1_HUMAN,PTPMT1,Phosphatidylglycerophosphatase and protein-tyrosine phosphatase 1,3,3,42043.8,44195.6,27154.6,32345.9,48485.6,45280.9,34571.5,35342.5,56311.8
Q8WUM0,NU133_HUMAN,NUP133,Nuclear pore complex protein Nup133,10,10,91638.1,101503,96242.3,97256.4,119007,110194,96125.9,102677,94688.3
Q8WUM4,PDC6I_HUMAN,PDCD6IP,Programmed cell death 6-interacting protein,20,20,449322,414720,415347,444555,565312,540147,414947,481680,462295
Q8WUQ7,CATIN_HUMAN,CACTIN,Splicing factor Cactin,3,3,9870.46,10935.2,11643.3,9333.71,10094.5,8979.71,9293.85,12312.2,10273.5
Q8WUR7,CO040_HUMAN,C15orf40,UPF0235 protein C15orf40,1,1,119079,89484.1,73070.8,70648.4,128799,98042.4,87346.7,95207.6,82607.6
Q8WUU5,GATD1_HUMAN,GATAD1,GATA zinc finger domain-containing protein 1,1,1,3430.66,6475.45,5315.42,4667.15,7817.9,4254.38,3580.49,,
Q8WUW1,BRK1_HUMAN,BRK1,Protein BRICK1,2,2,26884.6,20820.7,19931.8,21565.2,35687.8,27108.6,35994.6,23193.8,35229
Q8WUX1,S38A5_HUMAN,SLC38A5,Sodium-coupled neutral amino acid transporter 5,5,5,209132,192685,172375,181451,279963,210609,188219,189771,165580
Q8WUX2,CHAC2_HUMAN,CHAC2,Glutathione-specific gamma-glutamylcyclotransferase 2,3,3,26098.5,21749.2,24541.7,26533.3,34735.8,38592.7,22472.4,31382.6,34956.4
Q8WUX9,CHMP7_HUMAN,CHMP7,Charged multivesicular body protein 7,6,6,29750,21822.3,24832,28061.5,34535.5,29682.4,24383.5,26776.2,24492.4
Q8WUY1,THEM6_HUMAN,THEM6,Protein THEM6,6,6,123551,124540,117183,121159,154072,153746,134749,135273,130805
Q8WUZ0,BCL7C_HUMAN,BCL7C,B-cell CLL/lymphoma 7 protein family member C,1,1,6827.69,6688.62,7992.72,9520.14,7949.37,9393.39,10965.9,12975.3,11116.7
Q8WV22,NSE1_HUMAN,NSMCE1,Non-structural maintenance of chromosomes element 1 homolog,3,3,23907.2,30408.6,29652.2,22582.4,32104.6,31562.7,28575.4,24688.8,28456.6
Q8WV44,TRI41_HUMAN,TRIM41,E3 ubiquitin-protein ligase TRIM41,2,2,4821.68,4996.12,4502.25,6357.24,9082.53,3527.46,3762.71,3384.01,4937.32
Q8WV60,PTCD2_HUMAN,PTCD2,"Pentatricopeptide repeat-containing protein 2, mitochondrial",3,3,,11545.9,,,16832.3,18086.4,,,
Q8WV74,NUDT8_HUMAN,NUDT8,Mitochondrial coenzyme A diphosphatase NUDT8,2,2,4955.31,,4097.25,6649.48,5217.01,,4319.72,6747.5,2391.67
Q8WV92,MITD1_HUMAN,MITD1,MIT domain-containing protein 1,1,1,,,,4298.97,2987.83,2162.95,2232.95,,2776.87
Q8WVB6,CTF18_HUMAN,CHTF18,Chromosome transmission fidelity protein 18 homolog,5,5,21595.7,11711,17454.3,19622,27778.2,28907.4,19666.2,20719,20227.3
Q8WVC0,LEO1_HUMAN,LEO1,RNA polymerase-associated protein LEO1,6,6,78854.4,92343.7,74447.6,71850.9,93547.6,94682,87370.9,88688.6,81320.1
Q8WVC6,DCAKD_HUMAN,DCAKD,Dephospho-CoA kinase domain-containing protein,2,2,14142.3,14985.6,11199.8,13787.7,12662.1,15224.3,11701.3,10534.9,13522.3
Q8WVE0,EFMT1_HUMAN,EEF1AKMT1,EEF1A lysine methyltransferase 1,1,1,,,,,2114.88,,5130.64,3919.22,2731.71
Q8WVI0,UQCC5_HUMAN,UQCC5,Ubiquinol-cytochrome c reductase complex assembly factor 5,1,1,15427,14139.7,11704.5,12995.2,16665.7,26415.4,20322.7,19250.2,20498.6
Q8WVJ2,NUDC2_HUMAN,NUDCD2,NudC domain-containing protein 2,2,2,202925,215800,204402,205675,260105,261762,207296,244402,249903
Q8WVK2,SNR27_HUMAN,SNRNP27,U4/U6.U5 small nuclear ribonucleoprotein 27 kDa protein,3,3,35045.9,26546.3,32668.5,30035.4,45960.3,46138.4,34744.7,31660.9,32514.5
Q8WVM0,TFB1M_HUMAN,TFB1M,"Dimethyladenosine transferase 1, mitochondrial",5,5,25296.9,18471.2,12410.8,16613.6,21473,17901.2,16735.9,16508.9,16022.9
Q8WVM7,STAG1_HUMAN,STAG1,Cohesin subunit SA-1,10,10,92402.9,85243,81646.8,68197.6,98593.8,92982.7,73281.4,86382.5,77632.6
Q8WVM8,SCFD1_HUMAN,SCFD1,Sec1 family domain-containing protein 1,11,11,72168.2,61515.7,59446.3,63763.7,82268.6,72792.5,72528.8,72677.8,62778.2
Q8WVQ1,CANT1_HUMAN,CANT1,Soluble calcium-activated nucleotidase 1,1,1,7402.53,,4344.6,6282.32,12385.4,12206.9,6032.22,5526.88,7388.76
Q8WVT3,TPC12_HUMAN,TRAPPC12,Trafficking protein particle complex subunit 12,6,6,26781.6,28030.6,23501.7,25876,33813.4,24615.4,26621,28678,27657.7
Q8WVV9,HNRLL_HUMAN,HNRNPLL,Heterogeneous nuclear ribonucleoprotein L-like,7,7,96782,73881.1,80627.1,90289.4,97433.1,98536.2,87784.8,81384.1,77041.2
Q8WVX9,FACR1_HUMAN,FAR1,Fatty acyl-CoA reductase 1,7,7,44204,36328.5,36493,39892.1,51919.3,53215.6,37490.8,34294.4,39565.6
Q8WVY7,UBCP1_HUMAN,UBLCP1,Ubiquitin-like domain-containing CTD phosphatase 1,7,7,38723.8,39013.2,32701.4,42165.2,56710.9,47323.8,39146.2,42024.7,43328
Q8WW12,PCNP_HUMAN,PCNP,PEST proteolytic signal-containing nuclear protein,8,8,224376,255094,241500,252956,301207,300598,258556,279784,245910
Q8WW22,DNJA4_HUMAN,DNAJA4,DnaJ homolog subfamily A member 4,9,9,55155,43961.5,42999.2,50846.2,61862.8,59839.8,47496.7,50798,51482.1
Q8WW59,SPRY4_HUMAN,SPRYD4,SPRY domain-containing protein 4,6,6,113093,106520,96441.8,118178,143300,118820,113023,114943,112430
Q8WWB5,PIHD2_HUMAN,PIH1D2,PIH1 domain-containing protein 2,1,1,11427.4,,,,8962.37,425.087,,,
Q8WWC4,MAIP1_HUMAN,MAIP1,"m-AAA protease-interacting protein 1, mitochondrial",6,6,76037.9,72686.4,66166.2,75014.7,83334.3,86883.3,63760.8,71022.3,66738.7
Q8WWH5,TRUB1_HUMAN,TRUB1,Pseudouridylate synthase TRUB1,6,6,29160.1,22964.7,30629.5,31023.5,32749.6,37920,25798.5,30434.4,27666.3
Q8WWI1,LMO7_HUMAN,LMO7,LIM domain only protein 7,19,19,133158,145109,126745,146835,183208,173282,140991,161543,158869
Q8WWI5,CTL1_HUMAN,SLC44A1,Choline transporter-like protein 1,5,5,35688.6,46103.9,23065.8,47921.1,52334.1,52503.4,37643.2,48526.2,34392.2
Q8WWK9,CKAP2_HUMAN,CKAP2,Cytoskeleton-associated protein 2,4,4,14912.2,15506.3,16589.4,15170,17137.2,20224,15977.9,16560.4,16670.7
Q8WWM7,ATX2L_HUMAN,ATXN2L,Ataxin-2-like protein,7,7,171685,202633,201943,183443,219199,235622,191501,222235,213913
Q8WWN8,ARAP3_HUMAN,ARAP3,"Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 3",2,2,3932.19,3446.04,3980.55,4579.82,6352.47,4618.72,4421.33,6391.94,6057.16
Q8WWQ0,PHIP_HUMAN,PHIP,PH-interacting protein,16,15,53039.7,61041.6,60965.1,61409.6,74344.5,76187.2,63650.1,69839,66555.3
Q8WWV3,RT4I1_HUMAN,RTN4IP1,"Reticulon-4-interacting protein 1, mitochondrial",6,6,43711.6,41060.3,38967.4,43389.4,48441.3,52314.4,38862.2,44478,44537
Q8WWY3,PRP31_HUMAN,PRPF31,U4/U6 small nuclear ribonucleoprotein Prp31,6,6,114522,112897,113541,129837,159320,137480,118401,119850,124431
Q8WX92,NELFB_HUMAN,NELFB,Negative elongation factor B,8,8,81182.2,85675.5,93040.2,75123,108615,119012,80255.2,100291,97606
Q8WX93,PALLD_HUMAN,PALLD,Palladin,20,19,101346,103765,101692,103095,140235,123879,105908,125796,112757
Q8WXA3,RUFY2_HUMAN,RUFY2,RUN and FYVE domain-containing protein 2,5,5,3281.2,,3225.37,6458.61,4073.2,3452.25,2649.75,6609.58,5038.44
Q8WXA9,SREK1_HUMAN,SREK1,Splicing regulatory glutamine/lysine-rich protein 1,3,3,64333.6,43501.3,61397.5,55073.5,68096.7,53830.3,53532.2,73123.9,68529.2
Q8WXD5,GEMI6_HUMAN,GEMIN6,Gem-associated protein 6,4,4,40429.3,47807.8,52064.4,46164.6,62814.4,58569.6,45364.3,49779.5,47074.9
Q8WXE0,CSKI2_HUMAN,CASKIN2,Caskin-2,4,3,2331.58,3283.2,3608.53,4684.02,4769.31,4175.1,3884.76,4349.21,3986.75
Q8WXE1,ATRIP_HUMAN,ATRIP,ATR-interacting protein,2,2,,,3899.18,4852.33,,6946.84,3407.97,,3453.49
Q8WXE9,STON2_HUMAN,STON2,Stonin-2,2,2,3285.84,4724.6,4633.5,4212.53,3543.71,4512.52,4587.83,5306.01,4854.59
Q8WXF1,PSPC1_HUMAN,PSPC1,Paraspeckle component 1,4,4,46903.9,41019.6,38851.9,31362.6,56075.7,48603.6,31113,38300.2,38224.7
Q8WXG6,MADD_HUMAN,MADD,MAP kinase-activating death domain protein,9,9,24111.4,28683.8,29536.5,24273.5,39121.9,34091.9,33675,33632,35335.9
Q8WXH0,SYNE2_HUMAN,SYNE2,Nesprin-2,45,45,240287,231294,242682,223648,363142,330868,227193,263482,266159
Q8WXI4,ACO11_HUMAN,ACOT11,Acyl-coenzyme A thioesterase 11,2,2,4054.24,,,3185.85,5933.13,7002.93,2599.29,3985.11,
Q8WXI7,MUC16_HUMAN,MUC16,Mucin-16,7,7,13290,19328.1,22272.6,24191.2,23201.8,20104.2,20775.3,25835,24015.9
Q8WXI9,P66B_HUMAN,GATAD2B,Transcriptional repressor p66-beta,7,7,50687.6,54233,50812,60352.8,70110.5,75157.8,49267.7,62207.9,69424.4
Q8WXW3,PIBF1_HUMAN,PIBF1,Progesterone-induced-blocking factor 1,2,2,,7137.45,8005.14,,6195.69,4152.56,3150.55,4703.88,4656.95
Q8WXX5,DNJC9_HUMAN,DNAJC9,DnaJ homolog subfamily C member 9,5,5,255055,245180,237695,211827,317622,265711,228424,269254,251151
Q8WY22,BRI3B_HUMAN,BRI3BP,BRI3-binding protein,1,1,46037.3,63407,53642.7,39233.6,72254.1,49713.5,55947.7,62020.1,51491.1
Q8WYA0,IFT81_HUMAN,IFT81,Intraflagellar transport protein 81 homolog,2,2,,,,,,1576.35,1584.25,,2643.08
Q8WYA6,CTBL1_HUMAN,CTNNBL1,Beta-catenin-like protein 1,8,8,191250,183467,187753,219923,239732,223811,202191,236941,241165
Q8WYP5,ELYS_HUMAN,AHCTF1,Protein ELYS,30,30,58941,52335.2,48274.1,53709.2,72090.7,63362.5,55075.5,57946.7,55278.4
Q8WYQ5,DGCR8_HUMAN,DGCR8,Microprocessor complex subunit DGCR8,4,4,3001.56,6958.68,7387.09,5460.81,10124.9,10300.1,8113.23,7543.29,5276.33
Q8WZ82,OVCA2_HUMAN,OVCA2,Esterase OVCA2,1,1,47470.6,44411.6,53858.5,51134.4,71636.1,68530.3,66623.5,67167.1,66909.1
Q8WZA0,LZIC_HUMAN,LZIC,Protein LZIC,3,3,99604.1,84393.8,90258.6,72111.3,121053,117926,86031.9,92171.3,90049.6
Q8WZA1,PMGT1_HUMAN,POMGNT1,"Protein O-linked-mannose beta-1,2-N-acetylglucosaminyltransferase 1",2,2,2383.83,,,4396.61,2798.73,5152.94,5177.9,3190.49,3712.95
Q8WZA9,IRGQ_HUMAN,IRGQ,Immunity-related GTPase family Q protein,4,4,16817.8,17233.5,18297.4,16887.5,23685.6,21539.6,15273.2,19803,19886.3
Q92317,NCB2_YEAST,NCB2,Negative cofactor 2 complex subunit beta,4,4,68365.6,76438.1,87832,24753.2,41894.8,31775.2,5670.19,7833.7,
Q92331,VPS5_YEAST,VPS5,Vacuolar protein sorting-associated protein 5,4,4,19263.3,26096.2,20181.3,8619.89,13309.9,15072.9,,2052.54,
Q92466,DDB2_HUMAN,DDB2,DNA damage-binding protein 2,7,7,122896,144505,119641,132274,202371,157559,107745,128113,125900
Q92478,CLC2B_HUMAN,CLEC2B,C-type lectin domain family 2 member B,1,1,9062.19,8721.54,,8473.55,10406.9,,11095.4,12801.4,
Q92485,ASM3B_HUMAN,SMPDL3B,Acid sphingomyelinase-like phosphodiesterase 3b,2,2,58808.3,41733,46107.5,35321.2,55369.4,46110.3,46688.2,43400.3,38079.6
Q92499,DDX1_HUMAN,DDX1,ATP-dependent RNA helicase DDX1,15,15,500360,425787,390906,478786,602437,582682,423004,438048,436659
Q92506,DHB8_HUMAN,HSD17B8,(3R)-3-hydroxyacyl-CoA dehydrogenase,4,4,63727.8,68441.2,63880.7,61565.3,91639.5,75094.8,52816,61777.6,67617.1
Q92520,FAM3C_HUMAN,FAM3C,Protein FAM3C,6,6,35807.3,35092,33237.2,37121,38374.7,40854.3,32246.9,39855.4,35506
Q92522,H1X_HUMAN,H1-10,Histone H1.10,5,5,1.66E+06,1.62E+06,1.64E+06,1.68E+06,2.27E+06,1.91E+06,1.64E+06,1.76E+06,1.72E+06
Q92530,PSMF1_HUMAN,PSMF1,Proteasome inhibitor PI31 subunit,2,2,74178.9,78790.7,68698.8,73649.1,89414.2,86093.4,68619.6,76630.1,65101.3
Q92538,GBF1_HUMAN,GBF1,Golgi-specific brefeldin A-resistance guanine nucleotide exchange factor 1,21,21,53537.3,49019.5,47085.3,53814.7,67097.8,59863.4,49981.2,54928.1,53528.7
Q92539,LPIN2_HUMAN,LPIN2,Phosphatidate phosphatase LPIN2,1,1,,,7678.12,5675.03,10556.3,10502.6,,,2421.67
Q92540,SMG7_HUMAN,SMG7,Nonsense-mediated mRNA decay factor SMG7,5,5,7667.14,9725.56,17870.9,12737.5,13883.6,18387.5,8433.62,16960.6,10799.6
Q92541,RTF1_HUMAN,RTF1,RNA polymerase-associated protein RTF1 homolog,15,15,136024,133243,129686,144855,177838,185054,139183,141123,137379
Q92542,NICA_HUMAN,NCSTN,Nicastrin,3,3,41898.4,36366.4,40605,34329.7,44539,44270.8,35876.7,38638.1,31739.5
Q92544,TM9S4_HUMAN,TM9SF4,Transmembrane 9 superfamily member 4,1,1,83327.3,100175,103927,86795.3,116698,116800,108802,110178,112419
Q92545,TM131_HUMAN,TMEM131,Transmembrane protein 131,2,2,,546.455,2202.28,1159.82,,2042.56,868.98,,1069.15
Q92547,TOPB1_HUMAN,TOPBP1,DNA topoisomerase 2-binding protein 1,7,7,12059.1,13569.8,12666.6,13368.7,19614.1,15188.8,13514.6,14564.1,13165.8
Q92552,RT27_HUMAN,MRPS27,Small ribosomal subunit protein mS27,6,6,164556,130355,150798,152213,193139,169138,151836,171617,158174
Q92558,WASF1_HUMAN,WASF1,Actin-binding protein WASF1,1,1,,,,,,,,,3225.25
Q92560,BAP1_HUMAN,BAP1,Ubiquitin carboxyl-terminal hydrolase BAP1,2,2,4637.79,4118.62,4742.85,4644.95,7427.28,7715.12,5656.82,3864.55,3105.23
Q92564,DCNL4_HUMAN,DCUN1D4,DCN1-like protein 4,1,1,7416.27,7847.75,7296.72,7951.64,9832.22,3093.88,9353.2,7760.34,8764.39
Q92572,AP3S1_HUMAN,AP3S1,AP-3 complex subunit sigma-1,1,1,15037.9,8198.97,5716.38,10038.3,17240.6,14809.1,14153.8,8773.31,7413.46
Q92574,TSC1_HUMAN,TSC1,Hamartin,2,2,3884.91,,9935.67,5324.5,9847.39,6924.14,8924.86,7220.17,10092.8
Q92575,UBXN4_HUMAN,UBXN4,UBX domain-containing protein 4,4,4,37474.6,34903.5,33495.1,39165,50132.1,47430.8,37042.6,35319.5,34666
Q92576,PHF3_HUMAN,PHF3,PHD finger protein 3,14,14,29279.2,30636.2,34357.2,30350.5,37810.5,44597,36616.1,37343,37982.1
Q92581,SL9A6_HUMAN,SLC9A6,Sodium/hydrogen exchanger 6,3,3,20450.2,21636.4,24568.9,17660,22630.1,24590.5,26745.2,30707.8,28027.7
Q92597,NDRG1_HUMAN,NDRG1,Protein NDRG1,3,3,71623.9,60609.1,88934.7,118515,132884,121245,100842,107398,108270
Q92598,HS105_HUMAN,HSPH1,Heat shock protein 105 kDa,23,21,407519,353028,363021,383629,508300,456664,373749,396489,402664
Q92599,SEPT8_HUMAN,SEPTIN8,Septin-8,8,6,68297.2,71067.7,55879.4,61073.4,89967.5,82480,52162.4,65279.5,58533.9
Q92600,CNOT9_HUMAN,CNOT9,CCR4-NOT transcription complex subunit 9,5,4,47485.7,43799.4,43277.7,36824.7,61251.7,60140.4,38523.1,52692.1,46200.2
Q92604,LGAT1_HUMAN,LPGAT1,Acyl-CoA:lysophosphatidylglycerol acyltransferase 1,1,1,5639.18,3357.03,,5208.25,9366.38,9775.08,4511.03,8544.4,9520.58
Q92609,TBCD5_HUMAN,TBC1D5,TBC1 domain family member 5,9,9,51705,72315.4,72157.8,60506.4,81525,78530.4,63188.6,73921.1,79888
Q92610,ZN592_HUMAN,ZNF592,Zinc finger protein 592,3,3,2605.75,3353.54,,2698.96,9486.18,6447.68,3204.96,6646.15,2550.38
Q92613,JADE3_HUMAN,JADE3,Protein Jade-3,4,4,5164.28,5019.58,5572.18,,3577.04,2825.25,2988.8,3820.14,3280.06
Q92614,MY18A_HUMAN,MYO18A,Unconventional myosin-XVIIIa,25,25,46156.8,48294,48188.5,45584.3,66806.9,61202.2,48126.1,52940.5,55274.7
Q92615,LAR4B_HUMAN,LARP4B,La-related protein 4B,9,9,46429.7,60406.1,66508.3,50431.5,80893.7,78796.2,46844.9,66643.8,71758.6
Q92616,GCN1_HUMAN,GCN1,Stalled ribosome sensor GCN1,68,68,409570,386858,370951,369168,495435,457145,380587,409194,402893
Q92619,HMHA1_HUMAN,ARHGAP45,Rho GTPase-activating protein 45,4,4,9535.09,9526.8,9215.04,11716.6,13005.4,20896.9,15304,16862.1,8646.44
Q92620,PRP16_HUMAN,DHX38,Pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16,16,16,35053,34633.8,34291.6,35494.1,42661.1,39948.9,36638.3,37210.4,36224.9
Q92621,NU205_HUMAN,NUP205,Nuclear pore complex protein Nup205,19,19,134677,119564,115308,124907,177487,151943,131957,144974,137361
Q92625,ANS1A_HUMAN,ANKS1A,Ankyrin repeat and SAM domain-containing protein 1A,7,6,11797.6,14263.4,12603.8,12316,15891.5,15584.1,13431.6,14590,15585.1
Q92626,PXDN_HUMAN,PXDN,Peroxidasin homolog,2,2,3929.02,,,,3741.23,,2520.72,2492.4,3415.59
Q92643,GPI8_HUMAN,PIGK,GPI-anchor transamidase,6,6,95143.6,75780.8,84814.9,82254.6,102390,92655,85538,88603,99929.1
Q92664,TF3A_HUMAN,GTF3A,Transcription factor IIIA,2,2,1149.2,1381.98,1780.31,1722.27,1687.05,1722.01,,1440.73,1256.29
