Protein.Group,Protein.Names,Genes,First.Protein.Description,N.Sequences,N.Proteotypic.Sequences,150H100Y_1,150H100Y_2,150H100Y_3,200H50Y_1,200H50Y_2,200H50Y_3,240H10Y_1,240H10Y_2,240H10Y_3
P31350,RIR2_HUMAN,RRM2,Ribonucleoside-diphosphate reductase subunit M2,7,6,87287.5,90993.4,78907.9,86342.3,117108,116044,84079.4,100817,91487
P31373,CYS3_YEAST,CYS3,Cystathionine gamma-lyase,6,6,1.67E+06,1.32E+06,1.40E+06,577984,780464,685460,173780,174483,165189
P31374,PSK1_YEAST,PSK1,Serine/threonine-protein kinase PSK1,2,2,23806.6,25021.1,30890.3,5614.48,8839.2,8472.8,,,4013.88
P31377,STX8_YEAST,SYN8,Syntaxin-8,1,1,12583,20321.8,15562.1,4107.7,10587,,,,
P31380,FUN30_YEAST,FUN30,ATP-dependent helicase FUN30,5,5,40504.1,51727,47912.6,24564.6,27509.3,25162.9,,,
P31381,FUN26_YEAST,FUN26,Nucleoside transporter FUN26,1,1,1401.73,2446.65,2204.61,,,1434.69,,,
P31382,PMT2_YEAST,PMT2,Dolichyl-phosphate-mannose--protein mannosyltransferase 2,8,8,408688,390164,441258,146246,206580,197633,52269.6,60547,63278.6
P31383,2AAA_YEAST,TPD3,Protein phosphatase PP2A regulatory subunit A,8,8,219978,180107,171538,81783.6,118704,100526,31929,28192.8,30860.3
P31384,CCR4_YEAST,CCR4,CCR4-Not complex 3'-5'-exoribonuclease subunit Ccr4,7,7,29045.6,34288.2,27271,14547.3,17669.2,17478.4,,,
P31385,DEP1_YEAST,DEP1,Transcriptional regulatory protein DEP1,1,1,6490.89,11901.5,16260.1,,,5689.97,,,
P31412,VATC_YEAST,VMA5,V-type proton ATPase subunit C,7,7,620642,698586,713448,236134,343294,342099,79092.7,77295.3,88765.3
P31431,SDC4_HUMAN,SDC4,Syndecan-4,2,2,7354.22,7933.62,13190.9,5960.77,11944.4,11614.8,12173.1,14575.2,14022.7
P31483,TIA1_HUMAN,TIA1,Cytotoxic granule associated RNA binding protein TIA1,2,2,50508.6,59646.8,69411,51573.5,82713.2,73071.2,67626.5,72770.9,78755
P31539,HS104_YEAST,HSP104,Heat shock protein 104,23,23,2.22E+06,2.09E+06,2.00E+06,901484,1.17E+06,1.07E+06,222232,241401,216409
P31688,TPS2_YEAST,TPS2,Trehalose-phosphatase,17,17,486248,436988,403570,192094,231304,205274,44732.4,52841.7,48758.5
