run order,250pgWet,SC,DM
745,4887,#N/A,#N/A
746,#N/A,#N/A,220
747,#N/A,#N/A,243
748,#N/A,3599,#N/A
749,#N/A,323,#N/A
750,#N/A,4153,#N/A
751,#N/A,296,#N/A
752,#N/A,4245,#N/A
753,#N/A,4103,#N/A
754,#N/A,4558,#N/A
755,#N/A,3999,#N/A
756,#N/A,3668,#N/A
757,#N/A,3779,#N/A
758,#N/A,304,#N/A
759,#N/A,888,#N/A
760,#N/A,4319,#N/A
761,#N/A,4006,#N/A
762,#N/A,356,#N/A
763,#N/A,4045,#N/A
764,#N/A,3477,#N/A
765,#N/A,260,#N/A
766,5140,#N/A,#N/A
767,5054,#N/A,#N/A
768,#N/A,#N/A,214
769,#N/A,#N/A,190
770,#N/A,4727,#N/A
771,#N/A,4467,#N/A
772,#N/A,467,#N/A
773,#N/A,4713,#N/A
774,#N/A,3551,#N/A
775,#N/A,3523,#N/A
776,#N/A,327,#N/A
777,#N/A,4105,#N/A
778,#N/A,4335,#N/A
779,#N/A,4198,#N/A
780,#N/A,4663,#N/A
781,#N/A,4048,#N/A
782,#N/A,3459,#N/A
783,#N/A,4185,#N/A
784,#N/A,4244,#N/A
785,#N/A,4569,#N/A
786,#N/A,394,#N/A
787,#N/A,4012,#N/A
788,5219,#N/A,#N/A
789,5115,#N/A,#N/A
790,#N/A,#N/A,165
791,#N/A,#N/A,203
792,#N/A,4399,#N/A
793,#N/A,4243,#N/A
794,#N/A,4302,#N/A
795,#N/A,4214,#N/A
796,#N/A,2245,#N/A
797,#N/A,3880,#N/A
798,#N/A,407,#N/A
799,#N/A,3804,#N/A
800,#N/A,511,#N/A
801,#N/A,4187,#N/A
802,#N/A,4184,#N/A
803,#N/A,4246,#N/A
804,#N/A,3954,#N/A
805,#N/A,4268,#N/A
806,#N/A,3858,#N/A
807,#N/A,3945,#N/A
808,#N/A,4003,#N/A
809,#N/A,4501,#N/A
810,5104,#N/A,#N/A
811,5075,#N/A,#N/A
812,#N/A,#N/A,452
813,#N/A,#N/A,323
814,#N/A,2992,#N/A
815,#N/A,3537,#N/A
816,#N/A,3675,#N/A
817,#N/A,692,#N/A
818,#N/A,4158,#N/A
819,#N/A,4349,#N/A
820,#N/A,4373,#N/A
821,#N/A,4418,#N/A
822,#N/A,4373,#N/A
823,#N/A,3504,#N/A
824,#N/A,4052,#N/A
825,#N/A,3054,#N/A
826,#N/A,4783,#N/A
827,#N/A,3403,#N/A
828,#N/A,4058,#N/A
829,#N/A,4142,#N/A
830,#N/A,3927,#N/A
831,#N/A,4161,#N/A
832,5100,#N/A,#N/A
833,4964,#N/A,#N/A
834,#N/A,#N/A,634
835,#N/A,#N/A,280
836,#N/A,3819,#N/A
837,#N/A,4214,#N/A
838,#N/A,4266,#N/A
839,#N/A,2711,#N/A
840,#N/A,4168,#N/A
841,#N/A,265,#N/A
842,#N/A,244,#N/A
843,#N/A,3580,#N/A
844,#N/A,2599,#N/A
845,#N/A,3170,#N/A
846,#N/A,4426,#N/A
847,#N/A,2972,#N/A
848,#N/A,3857,#N/A
849,#N/A,3815,#N/A
850,#N/A,822,#N/A
851,#N/A,3525,#N/A
852,#N/A,3866,#N/A
853,#N/A,3830,#N/A
854,5166,#N/A,#N/A
855,5052,#N/A,#N/A
856,#N/A,#N/A,522
857,#N/A,#N/A,301
858,#N/A,3864,#N/A
859,#N/A,3776,#N/A
860,#N/A,3944,#N/A
861,#N/A,1215,#N/A
862,#N/A,4176,#N/A
863,#N/A,2731,#N/A
864,#N/A,3671,#N/A
865,#N/A,4110,#N/A
866,#N/A,4081,#N/A
867,#N/A,4144,#N/A
868,#N/A,4196,#N/A
869,#N/A,4181,#N/A
870,#N/A,4060,#N/A
871,#N/A,607,#N/A
872,#N/A,4041,#N/A
873,#N/A,3807,#N/A
874,#N/A,418,#N/A
875,#N/A,3966,#N/A
876,5072,#N/A,#N/A
877,5073,#N/A,#N/A
878,#N/A,#N/A,366
879,#N/A,#N/A,434
880,#N/A,597,#N/A
881,#N/A,4214,#N/A
882,#N/A,4427,#N/A
883,#N/A,3456,#N/A
884,#N/A,3554,#N/A
885,#N/A,4595,#N/A
886,#N/A,292,#N/A
887,#N/A,3612,#N/A
888,#N/A,3855,#N/A
889,#N/A,4444,#N/A
890,#N/A,4490,#N/A
891,#N/A,3976,#N/A
892,#N/A,3786,#N/A
893,#N/A,4022,#N/A
894,#N/A,3850,#N/A
895,#N/A,4476,#N/A
896,#N/A,3732,#N/A
897,#N/A,4373,#N/A
898,5210,#N/A,#N/A
899,5154,#N/A,#N/A
900,#N/A,#N/A,500
901,#N/A,#N/A,218
902,#N/A,2125,#N/A
903,#N/A,4043,#N/A
904,#N/A,373,#N/A
905,#N/A,3913,#N/A
906,#N/A,437,#N/A
907,#N/A,671,#N/A
908,#N/A,955,#N/A
909,#N/A,4556,#N/A
910,#N/A,3717,#N/A
911,#N/A,2001,#N/A
912,#N/A,3900,#N/A
913,#N/A,4228,#N/A
914,#N/A,1670,#N/A
915,#N/A,286,#N/A
916,#N/A,454,#N/A
917,#N/A,1241,#N/A
918,#N/A,4347,#N/A
919,#N/A,4569,#N/A
920,5085,#N/A,#N/A
921,4994,#N/A,#N/A
922,#N/A,#N/A,392
923,#N/A,#N/A,268
924,#N/A,3786,#N/A
925,#N/A,4009,#N/A
926,#N/A,4096,#N/A
927,#N/A,4582,#N/A
928,#N/A,4276,#N/A
929,#N/A,3831,#N/A
930,#N/A,3941,#N/A
931,#N/A,4323,#N/A
932,#N/A,2513,#N/A
933,#N/A,3151,#N/A
934,#N/A,3738,#N/A
935,#N/A,3653,#N/A
936,#N/A,417,#N/A
937,#N/A,3575,#N/A
938,#N/A,3196,#N/A
